symbol,kind,date,opportunity_pct,covered,missed,nearest_signal_date,signal_offset_days
SNOW,buy,2023-08-18,15.624586694204702,False,True,,
YINN,buy,2024-03-05,15.521908462737821,False,True,,
MRNA,buy,2022-05-12,15.433450642988845,False,True,,
MSFT,buy,2022-11-04,15.374561367392015,False,True,,
TSLA,buy,2025-01-02,15.272092264392544,False,True,,
SNOW,buy,2025-10-17,15.137223000591327,False,True,,
GOOGL,buy,2025-11-14,15.064031064754646,False,True,,
TEM,buy,2025-01-13,137.6737214367326,True,False,2025-01-15,2.0
AAOI,buy,2023-05-15,124.84849040939578,True,False,2023-05-10,-3.0
AAOI,buy,2025-04-21,107.2477940093374,True,False,2025-04-24,3.0
AAOI,buy,2026-07-29,93.14938025241717,True,False,2026-07-30,1.0
AAOI,buy,2025-11-21,90.29312585485837,True,False,2025-11-21,0.0
MRNA,buy,2025-12-31,85.04861181401388,True,False,2026-01-06,3.0
AAOI,buy,2025-03-10,67.965991067363,True,False,2025-03-12,2.0
TSLA,buy,2023-01-06,67.28312166402381,True,False,2023-01-09,1.0
TQQQ,buy,2023-01-06,51.82525764629617,True,False,2023-01-10,2.0
AAOI,buy,2024-07-02,51.374995708465576,True,False,2024-07-08,3.0
MRNA,buy,2025-11-21,51.094281060822986,True,False,2025-11-21,0.0
YINN,buy,2025-04-08,50.36704014502072,True,False,2025-04-09,1.0
YINN,buy,2023-05-31,42.95565743393026,True,False,2023-06-06,4.0
YINN,buy,2021-10-04,41.55153996615013,True,False,2021-10-07,3.0
SNOW,buy,2023-01-06,40.454289266120384,True,False,2023-01-11,3.0
SNOW,buy,2022-03-15,39.261099493043105,True,False,2022-03-16,1.0
TSLA,buy,2024-04-22,38.74973318677457,True,False,2024-04-25,3.0
TEM,buy,2026-04-10,36.43629446736192,True,False,2026-04-14,2.0
YINN,buy,2022-03-15,35.47619410923548,True,False,2022-03-15,0.0
TQQQ,buy,2024-08-05,35.15607811001102,True,False,2024-08-05,0.0
NFLX,buy,2026-02-23,32.298954179609396,True,False,2026-02-25,2.0
NVDA,buy,2026-03-30,29.861651940965107,True,False,2026-04-06,4.0
MRNA,buy,2025-01-13,29.16073842117337,True,False,2025-01-13,0.0
AAOI,buy,2023-03-28,29.120870159669067,True,False,2023-03-28,0.0
TQQQ,buy,2026-07-29,27.433339055691143,True,False,2026-08-04,4.0
TQQQ,buy,2024-04-19,27.4315125802844,True,False,2024-04-26,5.0
