case,rule,symbols,start,end,cost,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference
cost025,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.0025,152.75941622545943,20.465406672197673,15.229492335198358,1.2680867799226931,1.3438009765366954,82,52.4390243902439,-34.578755896442345,2.238994626563684,0.31976095617529876,32,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197
cost025,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.0025,148.6151217742468,20.0661733881941,15.229492335198358,1.2606906706798822,1.3175864924805942,82,51.21951219512195,-34.578755896442345,1.430267751784231,0.3173705179282868,33,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,69,53.62318840579711,39.130434782608695
TEM_external,v5,TEM,2025-06-16,2026-08-27,0.001,1.0350014424368448,0.862906586129708,44.48540505948504,0.22474568333615347,0.019397521163982787,4,50.0,-24.071694192505944,-3.130514874675122,0.39403973509933776,1,3,33.33333333333333,66.66666666666666,2,50.0,50.0,1,0.0,100.0,2,50.0,50.0
TEM_external,s-cooldown40,TEM,2025-06-16,2026-08-27,0.001,1.0350014424368448,0.862906586129708,44.48540505948504,0.22474568333615347,0.019397521163982787,4,50.0,-24.071694192505944,-3.130514874675122,0.39403973509933776,1,3,33.33333333333333,66.66666666666666,2,50.0,50.0,1,0.0,100.0,2,50.0,50.0
without_TQQQ,v5,"MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,160.1979048199869,21.169043160695743,15.512805824672904,1.311999382626203,1.3646172974734636,72,54.166666666666664,-34.38185233852087,2.54671151694289,0.33404161133244803,26,93,58.06451612903226,40.86021505376344,55,52.72727272727272,45.45454545454545,38,65.78947368421053,34.21052631578947,52,57.692307692307686,36.53846153846153
without_TQQQ,s-cooldown40,"MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,155.50961704046898,20.727463877104558,15.512805824672904,1.3065850047868406,1.33615182909966,72,52.77777777777778,-34.38185233852087,1.735550552118037,0.3313855688357681,27,93,58.06451612903226,40.86021505376344,55,52.72727272727272,45.45454545454545,38,65.78947368421053,34.21052631578947,60,56.666666666666664,36.666666666666664
only_TQQQ,v5,TQQQ,2021-08-27,2026-08-27,0.001,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,10,50.0,-18.423402686815884,1.7713678125236774,0.19123505976095617,5,11,81.81818181818183,18.181818181818183,5,80.0,20.0,6,83.33333333333334,16.666666666666664,9,33.33333333333333,55.55555555555556
only_TQQQ,s-cooldown40,TQQQ,2021-08-27,2026-08-27,0.001,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,10,50.0,-18.423402686815884,1.7713678125236774,0.19123505976095617,5,11,81.81818181818183,18.181818181818183,5,80.0,20.0,6,83.33333333333334,16.666666666666664,9,33.33333333333333,55.55555555555556
without_MSFT,v5,"TQQQ,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,177.7161306488189,22.76475124363828,15.5303727752369,1.3170401106609722,1.4658213021091522,78,53.84615384615385,-34.38185233852087,2.54671151694289,0.29694555112881804,29,98,60.204081632653065,38.775510204081634,55,54.54545454545454,43.63636363636363,43,67.44186046511628,32.55813953488372,60,53.333333333333336,40.0
without_MSFT,s-cooldown40,"TQQQ,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,172.71219665328408,22.317356682368093,15.5303727752369,1.3107733163317163,1.437013586560717,78,52.56410256410257,-34.38185233852087,1.735550552118037,0.2942895086321381,30,98,60.204081632653065,38.775510204081634,55,54.54545454545454,43.63636363636363,43,67.44186046511628,32.55813953488372,68,52.94117647058824,39.705882352941174
