symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,bars_from_entry,first_failure_date,first_recovery_date,failed,failure_on_entry,recovered,bars_to_failure,bars_to_recovery,failure_to_recovery_bars,above_high,above_mid,both_above,both_failed,first_failure_today,first_recovery_today
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-22,77.86073135545476,77.66118621826172,71.21453227996827,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,30,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-26,80.40486521753448,81.7617416381836,72.17781410217285,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,31,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-27,82.67963936547771,81.48239135742188,73.22191009521484,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,32,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-28,81.55222422500736,83.4877700805664,74.31040363311767,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,33,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-29,84.21610383118697,84.36575317382812,75.35898933410644,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,34,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-01,83.95669604998572,85.84235382080078,76.39360694885254,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,35,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-02,85.7425872329919,87.01964569091797,77.50654449462891,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,36,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-03,87.47858253447208,86.36115264892578,78.46284255981445,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,37,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-04,83.27825858883224,85.02423858642578,79.14377479553222,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,38,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-05,81.38261925142245,72.88219451904297,79.22907867431641,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,39,,,False,False,False,,,,True,False,False,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-08,76.68344388379349,76.09479522705078,79.22857971191407,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,40,,,False,False,False,,,,True,False,False,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-06-09,78.29971900421776,73.55065155029297,79.06695175170898,False,False,False,False,False,False,False,True,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,41,,,False,False,False,,,,True,False,False,False,False,False
MSFT,MSFT:2026-04-15,2026-04-13,2026-04-14,2026-04-15,384.5400085449219,398.0,False,False,False,False,True,False,2026-04-15,398.0,411.2200012207031,376.8149978637695,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-04-15,True,False,False,False,0,,,False,False,False,,,,True,True,True,False,False,False
MSFT,MSFT:2026-04-15,2026-04-13,2026-04-14,2026-04-15,384.5400085449219,398.0,False,False,False,False,True,False,2026-04-16,419.8599853515625,420.260009765625,378.2384979248047,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-04-15,False,False,False,False,1,,,False,False,False,,,,True,True,True,False,False,False
MSFT,MSFT:2026-04-15,2026-04-13,2026-04-14,2026-04-15,384.5400085449219,398.0,False,False,False,False,True,False,2026-04-17,424.8200073242187,422.7900085449219,379.9269989013672,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-04-15,False,False,False,False,2,,,False,False,False,,,,True,True,True,False,False,False
MSFT,MSFT:2026-04-15,2026-04-13,2026-04-14,2026-04-15,384.5400085449219,398.0,False,False,False,False,True,False,2026-04-20,421.1499938964844,418.0700073242187,381.73699951171875,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-04-15,False,False,False,False,3,,,False,False,False,,,,True,True,True,False,False,False
