window,symbol,trade_id,date,observation,open,close,overnight_factor,intraday_factor,running_overnight_factor,running_intraday_factor,running_gross_factor
training,MSFT,MSFT:2023-04-28,2023-10-31,close,338.8500061035156,338.1099853515625,1.0045655585546478,0.9978160816331015,1.1621013029719716,0.9570312641088453,1.1121672790058021
training,MSFT,MSFT:2023-04-28,2023-11-01,close,339.7900085449219,346.07000732421875,1.0049688659493818,1.0184819995331518,1.1678756285660412,0.9747191154853166,1.13835069967275
training,MSFT,MSFT:2023-04-28,2023-11-02,close,347.239990234375,348.32000732421875,1.0033807694552974,1.0031102900593758,1.1718239468186835,0.9777507746608942,1.1457517717681542
training,MSFT,MSFT:2023-04-28,2023-11-03,close,349.6300048828125,352.79998779296875,1.0037609024203265,1.0090666786771312,1.1762310623364705,0.9866157267610607,1.1604880644060314
training,MSFT,MSFT:2023-04-28,2023-11-06,close,353.45001220703125,356.5299987792969,1.0018424728927258,1.0087140655422062,1.1783982361844074,0.995213160869028,1.1727574333955715
training,MSFT,MSFT:2023-04-28,2023-11-07,close,359.3999938964844,360.5299987792969,1.0080497998121165,1.003144142743469,1.187884106084643,0.9983422531069793,1.1859148948985125
training,MSFT,MSFT:2023-04-28,2023-11-08,close,361.6799926757813,363.2000122070313,1.0031897315074423,1.0042026641285977,1.1916731374450111,1.0025379502821754,1.1946975446204506
training,MSFT,MSFT:2023-04-28,2023-11-09,close,362.2999877929687,360.69000244140625,0.9975219592956688,0.9955562092028486,1.1887201229041644,0.9980828813649164,1.186441205404646
training,MSFT,MSFT:2023-04-28,2023-11-10,close,361.489990234375,369.6700134277344,1.0022179372523603,1.0226286298772915,1.1913566295473839,1.0206681294741837,1.2159797426167964
training,MSFT,MSFT:2023-04-28,2023-11-13,close,368.2200012207031,366.6799926757813,0.996077549829952,0.9958176944766268,1.186683592533228,1.0163993835187528,1.2061444718825918
training,MSFT,MSFT:2023-04-28,2023-11-14,close,371.010009765625,370.2699890136719,1.0118087083460598,0.9980053887160063,1.2006967929765073,1.0143720618393421,1.2179532815354654
training,MSFT,MSFT:2023-04-28,2023-11-15,close,371.2799987792969,369.6700134277344,1.0027277656725988,0.9956636895150403,1.203972012471588,1.009973429631938,1.2159797426167962
training,MSFT,MSFT:2023-04-28,2023-11-16,close,370.9599914550781,376.1700134277344,1.0034895392660674,1.0140447004870259,1.2081733200843539,1.024158203950973,1.2373606175590757
training,MSFT,MSFT:2023-04-28,2023-11-17,close,373.6099853515625,369.8500061035156,0.9931944918925238,0.9899360846993723,1.1999510867592833,1.0138511625319673,1.216571804292397
training,MSFT,MSFT:2023-04-28,2023-11-20,close,371.2200012207031,377.44000244140625,1.0037041911439202,1.0167555659723333,1.2043959349479945,1.0308388125718984,1.241538075448212
training,MSFT,MSFT:2023-04-28,2023-11-21,close,375.6700134277344,373.0700073242187,0.9953105420670225,0.9930790161296282,1.1987479708764068,1.023704393777135,1.227163564817603
training,MSFT,MSFT:2023-04-28,2023-11-22,close,378.0,377.8500061035156,1.0132146583187989,0.9996031907500413,1.214589015721892,1.023298178404461,1.2428867272982793
training,MSFT,MSFT:2023-04-28,2023-11-24,close,377.3299865722656,377.4299926757813,0.9986237408420009,1.0002650361939802,1.2129174264657996,1.0235693894589721,1.2415051496717462
training,MSFT,MSFT:2023-04-28,2023-11-27,close,376.7799987792969,378.6099853515625,0.9982778424897388,1.0048569100753608,1.2108285916104848,1.0285407739394663,1.245386576723082
training,MSFT,MSFT:2023-04-28,2023-11-28,close,378.3500061035156,382.7000122070313,0.9993133322994493,1.0114973068147,1.2099971547257227,1.0403662227888772,1.2588401694472888
training,MSFT,MSFT:2023-04-28,2023-11-29,close,383.760009765625,378.8500061035156,1.0027697871042143,0.9872055359152506,1.2133485892410178,1.0270552945164186,1.2461760926740146
training,MSFT,MSFT:2023-04-28,2023-11-30,close,378.489990234375,378.9100036621094,0.9990497139676903,1.0011097081523195,1.2121955610243393,1.0281950261496264,1.2463734465658818
training,MSFT,MSFT:2023-04-28,2023-12-01,close,376.760009765625,374.510009765625,0.9943258455155446,0.9940280286079203,1.205317376145716,1.0220546748679822,1.2319002589893393
training,MSFT,MSFT:2023-04-28,2023-12-04,close,369.1000061035156,369.1400146484375,0.9855544484231675,1.0001083948638858,1.1879059018221507,1.0221654603453483,1.2142363829829947
training,MSFT,MSFT:2023-04-28,2023-12-05,close,366.4500122070313,372.5199890136719,0.9927127855700821,1.0165642696259791,1.1792493767930077,1.0390968846328716,1.2253543536308698
training,MSFT,MSFT:2023-04-28,2023-12-06,close,373.5400085449219,368.7999877929687,1.0027381605318704,0.9873105406555583,1.182478350893775,1.025911306960387,1.2131179104177958
training,MSFT,MSFT:2023-04-28,2023-12-07,close,368.2300109863281,370.9500122070313,0.9984545096922277,1.0073866907627043,1.1806508420633182,1.033489396534865,1.2201901262823989
training,MSFT,MSFT:2023-04-28,2023-12-08,close,369.2000122070313,374.2300109863281,0.9952823832257396,1.0136240482475287,1.1750809838462555,1.0475697059365654,1.2309792406994717
training,MSFT,MSFT:2023-04-28,2023-12-11,close,368.4800109863281,371.2999877929687,0.984635117892215,1.0076529980529805,1.1570260030623578,1.0555867548564593,1.221341323857134
training,MSFT,MSFT:2023-04-28,2023-12-12,close,370.8500061035156,374.3800048828125,0.998788091289397,1.0095186698697574,1.1556237931708524,1.0656345366948263,1.231472625429139
training,MSFT,MSFT:2023-04-28,2023-12-13,close,376.0199890136719,374.3699951171875,1.0043805334405418,0.9956119516390274,1.160686041841523,1.0609584808126868,1.2314396996526729
training,MSFT,MSFT:2023-04-28,2023-12-14,close,373.30999755859375,365.9299926757813,0.9971685830263669,0.9802308940797813,1.157399655681594,1.0399842802285464,1.20367744785079
training,MSFT,MSFT:2023-04-28,2023-12-15,close,366.8500061035156,370.7300109863281,1.0025141787941647,1.0105765430509974,1.1603095653522821,1.0509837187407443,1.219466461884398
training,MSFT,MSFT:2023-04-28,2023-12-18,close,369.4500122070313,372.6499938964844,0.9965473559157205,1.008661474039037,1.1563034293955357,1.0600867869360677,1.2257819871910696
training,MSFT,MSFT:2023-04-28,2023-12-19,close,371.489990234375,373.260009765625,0.9968871496548807,1.0047646493250957,1.1527040298662792,1.0651377287299855,1.2277885522696699
training,MSFT,MSFT:2023-04-28,2023-12-20,close,375.0,370.6199951171875,1.0046616036780034,0.9883199869791667,1.1580774792115531,1.0526969061894385,1.2191045794936657
training,MSFT,MSFT:2023-04-28,2023-12-21,close,372.55999755859375,373.5400085449219,1.0052344786222147,1.0026304782927586,1.1641394110193544,1.055466002550024,1.2287095705595372
training,MSFT,MSFT:2023-04-28,2023-12-22,close,373.6799926757813,374.5799865722656,1.0003747500338844,1.0024084615556743,1.16457567230308,1.058008051840487,1.232130438274207
training,MSFT,MSFT:2023-04-28,2023-12-26,close,375.0,374.6600036621094,1.0011212916941394,0.9990933430989584,1.1658815013316304,1.0570488015389283,1.2323936437190064
training,MSFT,MSFT:2023-04-28,2023-12-27,close,373.69000244140625,374.0700073242187,0.9974109827277482,1.0010168987137193,1.162863013987284,1.0581237131055519,1.2304529301933382
training,MSFT,MSFT:2023-04-28,2023-12-28,close,375.3699951171875,375.2799987792969,1.0034752526733373,0.999760246319468,1.1669042567853682,1.0578700240508767,1.234433034190608
training,MSFT,MSFT:2023-04-28,2023-12-29,close,376.0,376.0400085449219,1.0019185707286429,1.0001064057045794,1.1691430451355653,1.0579825874561393,1.2369329839988752
training,MSFT,MSFT:2023-04-28,2024-01-02,close,373.8599853515625,370.8699951171875,0.9942026828427248,0.9920023796300015,1.162365152100692,1.0495212443635964,1.2199269208375991
training,MSFT,MSFT:2023-04-28,2024-01-03,close,369.010009765625,370.6000061035156,0.9949848049827412,1.004308816280893,1.1565356641816413,1.0540434385884534,1.219038828324198
training,MSFT,MSFT:2023-04-28,2024-01-04,close,370.6700134277344,367.94000244140625,1.000188902652633,0.9926349289464163,1.1567541368364698,1.0462803337696858,1.2102891043787263
training,MSFT,MSFT:2023-04-28,2024-01-05,close,368.9700012207031,367.75,1.0027993661261687,0.9966934948189098,1.1599923151834353,1.0428208024252035,1.2096641169266595
training,MSFT,MSFT:2023-04-28,2024-01-08,close,369.2999877929687,374.69000244140625,1.004214786656611,1.0145952202182558,1.1648814353152417,1.0580410016847774,1.2324923206649396
training,MSFT,MSFT:2023-04-28,2024-01-09,close,372.010009765625,375.7900085449219,0.9928474401283223,1.0101610136288492,1.1565495511057435,1.0687917707227779,1.2361106426549415
training,MSFT,MSFT:2023-04-28,2024-01-10,close,376.3699951171875,382.7699890136719,1.0015433794381905,1.0170045274052508,1.1583345459021686,1.08696606967854,1.2590703487321564
training,MSFT,MSFT:2023-04-28,2024-01-11,close,386.0,384.6300048828125,1.008438516809145,0.9964507898518459,1.1681091714383773,1.0831081986733377,1.265188620530426
training,MSFT,MSFT:2023-04-28,2024-01-12,close,385.489990234375,388.4700012207031,1.0022358769223543,1.0077304497180752,1.1707209197775867,1.091481112142417,1.2778197715272337
training,MSFT,MSFT:2023-04-28,2024-01-16,close,393.6600036621094,390.2699890136719,1.0133601112701045,0.9913884707186376,1.1863618815320545,1.0820817905851485,1.2837405890501714
training,MSFT,MSFT:2023-04-28,2024-01-17,close,387.9800109863281,389.4700012207031,0.9941323235406053,1.0038403788653625,1.1794006938474657,1.0862373946243054,1.2811091369029692
training,MSFT,MSFT:2023-04-28,2024-01-18,close,391.7200012207031,393.8699951171875,1.00577708165699,1.005488598717922,1.186214187962133,1.0921993157957994,1.2955823244795115
training,MSFT,MSFT:2023-04-28,2024-01-19,close,395.760009765625,398.6700134277344,1.004798574839079,1.0073529502483909,1.1919063255182467,1.1002302030261726,1.3113713385131198
training,MSFT,MSFT:2023-04-28,2024-01-22,close,400.0199890136719,396.510009765625,1.0033861979593863,0.9912254903643655,1.1959423562854963,1.0905762225083033,1.304266297255516
training,MSFT,MSFT:2023-04-28,2024-01-23,close,395.75,398.8999938964844,0.9980832520064897,1.0079595550132265,1.193650036173732,1.0992567239474749,1.3121278283041216
training,MSFT,MSFT:2023-04-28,2024-01-24,close,401.5400085449219,402.55999755859375,1.0066182368734822,1.0025401927378745,1.2015498948571703,1.102049047894706,1.3241669176253288
training,MSFT,MSFT:2023-04-28,2024-01-25,close,404.3200073242187,404.8699951171875,1.0043720433632226,1.0013602784502518,1.2068031231005614,1.1035481414656776,1.3317653436125998
