window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
recent,symbol,SNOW,3,1,1,33.33333333333333,29.346167651045892,-25.89098544678904,-27.047831583052417,1,49.92654901713568,20.32130047425257,26.68803288386419,28.20835617933063,0,0,0
recent,symbol,TQQQ,1,1,1,100.0,44.928508277909906,44.928508277909906,44.928508277909906,0,76.7017953318747,31.482994671444594,31.482994671444594,31.482994671444594,1,1,0
recent,symbol,TSLA,1,1,0,0.0,-8.078611631424504,-8.078611631424504,-8.078611631424504,1,3.478968544127814,11.373461266504359,11.373461266504359,11.373461266504359,1,1,0
recent,symbol,YINN,1,1,0,0.0,-10.97577608363295,-10.97577608363295,-10.97577608363295,1,18.583866943784866,29.381327150370783,29.381327150370783,29.381327150370783,0,0,0
full,all,all,82,10,44,53.65853658536586,15.690496112805176,2.54671151694289,-34.38185233852087,31,38.73151201009004,22.809287370229786,22.903352907366294,116.31776245369203,35,31,4
full,exit_reason,signal,31,10,27,87.09677419354838,45.762196386267064,26.615563913745355,-8.078611631424515,4,65.00071311598856,18.946554466581336,12.686205946180124,116.31776245369203,31,31,0
full,exit_reason,trail,47,10,14,29.78723404255319,-6.7119982035284504,-9.80913675287911,-34.38185233852087,26,20.350163748141906,26.875305710453013,26.428567795526448,40.94216153511245,4,0,4
full,exit_reason,terminal,4,4,3,75.0,45.86412721039561,25.075747621464206,-7.672306384325056,1,51.12604551726701,4.969751875882276,4.782883104341455,10.048340632594531,0,0,0
full,entry_kind,B,42,10,25,59.523809523809526,16.928173391506157,3.6450780127737503,-27.047831583052417,12,38.05665224586509,20.894271254757705,20.613240816915784,76.60067403345829,25,21,4
full,entry_kind,JF,40,9,19,47.5,14.390934970169138,-0.4967422602022542,-34.38185233852087,19,39.44011476252623,24.82005429147547,24.637338239720318,116.31776245369203,10,10,0
full,entry_kind,B+JF,0,0,0,,,,,0,,,,,0,0,0
full,entry_component,B_BASE_BULL,8,5,6,75.0,24.62262586247305,14.009047786896943,-21.59643001259398,2,43.528654658357,18.65640917716705,19.874187137530633,34.02190367202716,5,4,1
