window,scope,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
recent,emitted,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,-3.0861267451760432,-3.0861267451760432,1.6000429465880206,-9.885097591919322
recent,emitted,symbol,SNOW,1,1,0,1,1,0,100.0,0.0,-4.568784497172807,-4.568784497172807,12.835504795348962,-10.849808000522799
recent,emitted,symbol,TQQQ,2,2,0,1,0,2,0.0,100.0,5.718870904216066,5.718870904216066,16.47516184322564,-6.615844802372129
recent,emitted,symbol,TSLA,2,2,0,1,1,0,50.0,0.0,-1.906483384533142,-1.906483384533142,5.4956678915786155,-7.160023615348471
recent,emitted,symbol,YINN,2,1,1,1,0,1,0.0,100.0,0.1664970495836915,0.1664970495836915,10.780437851038482,-5.494275612000898
recent,emitted,component_set,S_BEAR_RALLY,2,1,1,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,emitted,component_set,S_BLOWOFF,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,emitted,component_set,S_CROSS+S_DELAY,3,3,0,3,1,2,33.33333333333333,66.66666666666666,1.1174722877189718,0.1664970495836915,10.38163405752197,-7.205165236957107
recent,emitted,component_set,S_DELAY,9,9,0,6,5,3,55.55555555555556,33.33333333333333,1.4601368246584299,-1.962754884943585,9.648955427558658,-7.921823259435816
recent,suppressed,all,all,57,56,1,10,32,18,57.14285714285714,32.142857142857146,16.767244466656496,-1.6826246424513858,29.695614295244322,-10.331863047127355
recent,suppressed,component,S_BLOWOFF,5,4,1,1,1,3,25.0,75.0,39.30259829175127,31.86467617725147,47.84146714741644,-16.99996795048429
recent,suppressed,component,S_BEAR_RALLY,0,0,0,0,0,0,,,,,,
recent,suppressed,component,S_CROSS,2,2,0,1,0,2,0.0,100.0,55.752842948667876,55.752842948667876,70.68724375161298,-5.98004658125949
recent,suppressed,component,S_DELAY,52,52,0,10,31,15,59.61538461538461,28.846153846153843,15.033755710879975,-2.6388400014526026,28.299779460461853,-9.818931900715281
recent,suppressed,regime,bull,41,40,1,8,21,16,52.5,40.0,23.979646550395422,-0.5168109378677788,39.8833960875617,-11.010043169044664
recent,suppressed,regime,bear,16,16,0,3,11,2,68.75,12.5,-1.2637607426908142,-2.774780156186174,4.226159814450888,-8.63641274233408
recent,suppressed,regime,unknown,0,0,0,0,0,0,,,,,,
recent,suppressed,symbol,AAOI,8,8,0,1,1,7,12.5,87.5,54.61208788798413,55.52669520082331,64.95107040196737,-10.570483830204484
recent,suppressed,symbol,GOOGL,4,4,0,1,1,1,25.0,25.0,5.08658741231431,0.1570866425217643,8.034148788483915,-6.738089016640322
recent,suppressed,symbol,MRNA,6,5,1,1,0,5,0.0,100.0,132.37519709991383,153.30560475448837,174.4682700711481,-7.052979669071833
recent,suppressed,symbol,MSFT,7,7,0,1,4,0,57.14285714285714,0.0,1.1969652910164494,-0.04042640255058627,3.6971045552088415,-10.19360315819061
recent,suppressed,symbol,NFLX,6,6,0,1,6,0,100.0,0.0,-5.553475321161507,-4.8577483731500894,2.398864126854583,-7.59618567958013
recent,suppressed,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,-0.8071192856232257,-0.8071192856232257,4.676423792933693,-7.1564790628477315
recent,suppressed,symbol,SNOW,3,3,0,1,3,0,100.0,0.0,-9.467683976560034,-10.322447283678782,8.568302904057738,-14.221281089592766
recent,suppressed,symbol,TQQQ,11,11,0,1,9,2,81.81818181818183,18.181818181818183,-10.309932365888203,-11.222078996886431,8.584414034416936,-15.480783151422388
recent,suppressed,symbol,TSLA,9,9,0,1,7,2,77.77777777777779,22.22222222222222,-3.2507245975372734,-5.418943196692549,5.286456857001124,-9.865361252021371
recent,suppressed,symbol,YINN,2,2,0,1,0,1,0.0,50.0,8.332347693913688,8.332347693913688,13.103488281987019,-2.986840567647886
recent,suppressed,component_set,S_BLOWOFF,5,4,1,1,1,3,25.0,75.0,39.30259829175127,31.86467617725147,47.84146714741644,-16.99996795048429
recent,suppressed,component_set,S_CROSS+S_DELAY,2,2,0,1,0,2,0.0,100.0,55.752842948667876,55.752842948667876,70.68724375161298,-5.98004658125949
recent,suppressed,component_set,S_DELAY,50,50,0,10,31,13,62.0,26.0,13.40499222136846,-2.8554901583592307,26.604280888815808,-9.972487313493513
recent,executed,all,all,8,7,1,7,4,2,57.14285714285714,28.57142857142857,-1.3844232913748906,-2.515071691210291,8.40090526114627,-10.821666300853364
recent,executed,component,S_BLOWOFF,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,executed,component,S_BEAR_RALLY,1,1,0,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,executed,component,S_CROSS,2,2,0,2,1,1,50.0,50.0,1.5929599067866118,1.5929599067866118,10.182232160763714,-8.060610049435212
recent,executed,component,S_DELAY,5,5,0,5,3,1,60.0,20.0,-0.15151344682377452,-2.515071691210291,6.7496950469631525,-8.58592489290243
recent,executed,regime,bull,5,4,1,4,2,2,50.0,50.0,0.6574222822238129,-0.5152555672953418,11.871829905087267,-10.994527627245517
recent,executed,regime,bear,3,3,0,3,2,0,66.66666666666666,0.0,-4.106884056173162,-3.560407195088755,3.7730057358916107,-10.591184532330493
recent,executed,regime,unknown,0,0,0,0,0,0,,,,,,
recent,executed,symbol,AAOI,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,executed,symbol,GOOGL,1,1,0,1,1,0,100.0,0.0,-2.515071691210291,-2.515071691210291,2.566901376500197,-9.926616791069842
