window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
recent,JF,exit_reason,signal,3,2,3,100.0,37.82872099997561,35.44300100700386,16.521418373581742,-0.21652887167550589,16.306891567366932,2,0,1,0,4.426700243828115,-10.594673041978076,-10.11627468868469,2
recent,JF,exit_reason,trail,1,1,0,0.0,-25.89098544678904,-25.89098544678904,-25.89098544678904,-10.214022445483199,-19.549178207379832,1,1,0,0,0.14821208935780206,-3.1585773645143034,-12.045227718769013,1
recent,JF,exit_reason,terminal,3,3,3,100.0,60.37911408552056,31.225894436277656,18.994673462303457,12.52714684620112,14.847956938308629,0,0,0,0,0.0,-5.25056798357959,-7.841564100202936,3
recent,JF,outcome,win,6,4,6,100.0,49.10391754274809,33.33444772164076,16.521418373581742,9.176469683630831,15.57742425283778,2,0,1,0,0.0,-10.594673041978076,-10.11627468868469,5
recent,JF,outcome,nonpositive,1,1,0,0.0,-25.89098544678904,-25.89098544678904,-25.89098544678904,-10.214022445483199,-19.549178207379832,1,1,0,0,0.14821208935780206,-3.1585773645143034,-12.045227718769013,1
recent,JF,profit_to_loss,false,6,4,6,100.0,49.10391754274809,33.33444772164076,16.521418373581742,9.176469683630831,15.57742425283778,2,0,1,0,0.0,-10.594673041978076,-10.11627468868469,5
recent,JF,profit_to_loss,true,1,1,0,0.0,-25.89098544678904,-25.89098544678904,-25.89098544678904,-10.214022445483199,-19.549178207379832,1,1,0,0,0.14821208935780206,-3.1585773645143034,-12.045227718769013,1
recent,JF,symbol,AAOI,2,1,2,100.0,48.48237231317255,48.48237231317255,35.44300100700386,12.060082615982626,27.282532054827506,1,0,0,0,6.097926276435146,-5.6104348089932365,-10.11627468868469,2
recent,JF,symbol,GOOGL,0,0,0,,,,,,,0,0,0,0,,,,0
recent,JF,symbol,MRNA,0,0,0,,,,,,,0,0,0,0,,,,0
recent,JF,symbol,MSFT,1,1,1,100.0,31.225894436277656,31.225894436277656,31.225894436277656,12.52714684620112,14.847956938308629,0,0,0,0,0.0,-2.319085985231595,-2.365560973716907,1
recent,JF,symbol,NFLX,2,1,2,100.0,17.7580459179426,17.7580459179426,16.521418373581742,2.504746451196926,14.036026821544732,1,0,1,0,-0.10195814232490896,-10.594673041978076,-2.7250554144352845,1
recent,JF,symbol,NVDA,0,0,0,,,,,,,0,0,0,0,,,,0
recent,JF,symbol,SNOW,2,1,1,50.0,52.512894455595756,52.512894455595756,-25.89098544678904,8.573762731711295,18.48904574777467,1,1,0,0,0.07410604467890103,-5.25056798357959,-12.045227718769013,2
recent,JF,symbol,TQQQ,0,0,0,,,,,,,0,0,0,0,,,,0
recent,JF,symbol,TSLA,0,0,0,,,,,,,0,0,0,0,,,,0
recent,JF,symbol,YINN,0,0,0,,,,,,,0,0,0,0,,,,0
recent,B,source,B_BASE_BULL,1,1,1,100.0,3.2947802138015625,3.2947802138015625,3.2947802138015625,8.416792780298014,-4.975026863511393,0,1,0,0,4.166737305676804,-6.174336740313569,-18.124246853248614,0
recent,B,source,B_STAGE_COMPONENT,5,4,1,20.0,-6.833399326576009,-8.078611631424504,-27.047831583052417,-1.628155865922424,-0.5960132881499299,3,3,3,0,-0.6104032044355616,-7.6089572364432705,-8.435513590121335,1
recent,B,source,B_BEAR_RECOVER,4,4,3,75.0,29.082587110919253,29.495133307056708,-0.061988349906882956,0.9366947750468975,15.04749718037765,2,0,2,1,-0.07319856523780355,-4.283036691121533,-10.445012473877725,0
recent,B,source,B_CRASH_RECOVER,0,0,0,,,,,,,0,0,0,0,,,,0
recent,B,source,multiple,0,0,0,,,,,,,0,0,0,0,,,,0
