mechanism,symbol,episode_id,expiry_date,trigger_date,reference_open_date,mature,return20_net_pct,mae20_pct,win,interference
rsi50-reclaim,MRNA,MRNA:2023-11-03,2023-11-10,2024-02-22,2024-02-23,True,4.299118500692201,-8.172690275455619,True,False
rsi50-reclaim,MSFT,MSFT:2022-05-04,2022-05-11,2022-06-23,2022-06-24,True,-0.7526342905633365,-6.061645951329931,False,False
rsi50-reclaim,NFLX,NFLX:2022-01-31,2022-02-07,2022-02-28,2022-03-01,True,-3.5359097696189723,-15.77630599561115,False,True
rsi50-reclaim,NFLX,NFLX:2022-05-13,2022-05-20,2022-05-23,2022-05-24,True,-1.9052797819586131,-9.736270286800242,False,True
rsi50-reclaim,NFLX,NFLX:2023-08-23,2023-08-30,2023-10-09,2023-10-10,True,12.524238835871259,-10.59442716616995,True,False
rsi50-reclaim,NVDA,NVDA:2023-02-23,2023-03-02,2023-03-14,2023-03-15,True,11.28335971674903,-1.6876355145896027,True,False
rsi50-reclaim,SNOW,SNOW:2022-06-02,2022-06-09,2022-08-24,2022-08-25,True,-10.354726750560083,-13.260131038092315,False,True
rsi50-reclaim,SNOW,SNOW:2022-12-12,2022-12-19,2023-01-09,2023-01-10,True,18.974213486400227,-0.8304872550189857,True,False
rsi50-reclaim,TQQQ,TQQQ:2022-01-31,2022-02-07,2022-03-16,2022-03-17,True,5.671929889389293,-1.4709179084717916,True,False
rsi50-reclaim,TSLA,TSLA:2023-08-21,2023-08-28,2023-10-02,2023-10-03,True,-20.773308601596817,-21.69663420979868,False,True
rsi50-reclaim,TSLA,TSLA:2024-03-27,2024-04-04,2024-04-08,2024-04-09,True,6.639671142533898,-19.727025555448673,True,False
rsi50-reclaim,YINN,YINN:2021-12-30,2022-01-06,2022-01-31,2022-02-01,True,-24.520009248559894,-30.73545605816228,False,True
rsi50-reclaim,YINN,YINN:2022-03-16,2022-03-23,2022-04-29,2022-05-02,True,-3.451539839702411,-28.070176277249516,False,True
rsi50-reclaim,YINN,YINN:2022-05-03,2022-05-10,2022-05-13,2022-05-16,True,16.683676045536465,-5.014751287375874,True,False
rsi50-reclaim,YINN,YINN:2022-08-25,2022-09-01,2022-09-12,2022-09-13,True,-32.27850404518063,-32.97909373162848,False,True
suppressed-raw-b,AAOI,AAOI:2022-03-08,2022-03-15,2022-03-18,2022-03-21,True,-15.016160821789448,-17.36694389783664,False,True
suppressed-raw-b,AAOI,AAOI:2022-05-03,2022-05-10,2022-05-17,2022-05-18,True,-19.345226098932024,-24.081633546758507,False,True
suppressed-raw-b,NFLX,NFLX:2022-01-31,2022-02-07,2022-02-09,2022-02-10,True,-11.450682343093177,-15.2772889369982,False,True
suppressed-raw-b,TSLA,TSLA:2023-08-21,2023-08-28,2023-08-29,2023-08-30,True,-5.578582462032655,-7.718330193836442,False,False
