position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
flat,raw_b,source_trusted,false,12,11,1,5,4,6,36.36363636363637,54.54545454545454,-0.7725357107322526,-1.8143770430292694,6.979574687102777,-10.956932571535107,0,0,0,0,0,8,0
flat,raw_b,source_trusted,true,10,8,2,5,5,3,62.5,37.5,27.079431871649504,15.376107236190817,38.286350214185475,-11.399484222722618,1,0,1,0,0,10,0
flat,raw_b,flat_origin,initial,14,14,0,9,7,6,50.0,42.857142857142854,3.8460917745151058,0.8571025346147287,12.923857242880503,-9.61016601313815,0,0,0,0,0,10,0
flat,raw_b,flat_origin,S,6,3,3,4,2,1,66.66666666666666,33.33333333333333,54.03686917452714,25.064053680511943,67.09928828245293,-13.740790246896756,1,0,1,0,0,6,0
flat,raw_b,flat_origin,trail,2,2,0,2,0,2,0.0,100.0,-3.9091651058258288,-3.9091651058258288,0.4171285119642265,-17.978718572021393,0,0,0,0,0,2,0
flat,raw_b,raw_b_state,accepted,17,14,3,10,8,6,57.14285714285714,42.857142857142854,6.100250796483982,2.8452002283981037,14.088948571492484,-10.94026280433969,1,0,1,0,0,17,0
flat,raw_b,raw_b_state,suppressed,5,5,0,2,1,3,20.0,60.0,24.546810200873104,-2.9479342765069805,37.16416865414391,-11.711690561582296,0,0,0,0,0,1,0
flat,raw_b,component,B_BASE_BULL,4,3,1,1,3,0,100.0,0.0,62.29453907220494,25.064053680511943,75.47971632650815,-11.671424830260277,1,0,1,0,0,4,0
flat,raw_b,component,B_STAGE_COMPONENT,6,4,2,5,1,3,25.0,75.0,-6.092205277592827,-2.468974079206826,6.004353303318677,-12.612839662657008,0,0,0,0,0,6,0
flat,raw_b,component,B_BEAR_RECOVER,5,5,0,5,4,1,80.0,20.0,14.55485614047953,11.375407987096331,19.515963632338813,-6.62140428796499,0,0,0,0,0,5,0
flat,raw_b,component,B_CRASH_RECOVER,8,8,0,4,1,6,12.5,75.0,-4.264788225534187,-3.9091651058258288,4.558725743464606,-13.589714738299595,0,0,0,0,0,4,0
flat,raw_b,component,multiple,1,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,0,0,0,0,0,1,0
flat,raw_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,all,all,10,9,1,9,6,3,66.66666666666666,33.33333333333333,4.7592635750425,3.8035273553150395,14.80283465580197,-10.063616499818291,10,10,0,0,0,0,10
flat,confirmed_b,symbol,TQQQ,1,1,0,1,1,0,100.0,0.0,44.529979969289776,44.529979969289776,48.500820250149744,-1.8233397760285763,1,1,0,0,0,0,1
flat,confirmed_b,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,2.454771108962772,2.454771108962772,8.969852313324456,-0.3190927170029889,1,1,0,0,0,0,1
flat,confirmed_b,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,symbol,YINN,1,1,0,1,1,0,100.0,0.0,11.644321238262801,11.644321238262801,18.701484537373947,-0.4469504450973827,1,1,0,0,0,0,1
flat,confirmed_b,symbol,SNOW,1,1,0,1,0,1,0.0,100.0,-29.363250732421875,-29.363250732421875,0.9871784438434839,-31.82905800322182,1,1,0,0,0,0,1
flat,confirmed_b,symbol,TSLA,1,1,0,1,0,1,0.0,100.0,-8.201250064715982,-8.201250064715982,1.3781137256765552,-11.364163440323338,1,1,0,0,0,0,1
flat,confirmed_b,symbol,MRNA,1,1,0,1,1,0,100.0,0.0,13.481418874496342,13.481418874496342,13.672920763582287,-14.668708671678898,1,1,0,0,0,0,1
flat,confirmed_b,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,6.504057678910113,6.504057678910113,17.523030551298604,-2.2764211101583554,1,1,0,0,0,0,1
flat,confirmed_b,symbol,GOOGL,2,1,1,1,1,0,100.0,0.0,3.8035273553150395,3.8035273553150395,4.973593274157495,-11.312828741307579,2,2,0,0,0,0,2
flat,confirmed_b,symbol,AAOI,1,1,0,1,0,1,0.0,100.0,-2.0202032527164904,-2.0202032527164904,18.518518042811174,-16.531985593545684,1,1,0,0,0,0,1
flat,confirmed_b,source_trusted,false,5,4,1,4,4,0,100.0,0.0,7.846009644259238,7.723924296788921,11.579462722109547,-6.686895143771713,5,5,0,0,0,0,5
flat,confirmed_b,source_trusted,true,5,5,0,5,2,3,40.0,60.0,2.2898667196691087,-2.0202032527164904,17.38153220275591,-12.764993584655555,5,5,0,0,0,0,5
flat,confirmed_b,flat_origin,initial,9,9,0,9,6,3,66.66666666666666,33.33333333333333,4.7592635750425,3.8035273553150395,14.80283465580197,-10.063616499818291,9,9,0,0,0,0,9
flat,confirmed_b,flat_origin,S,1,0,1,1,0,0,,,,,,,1,1,0,0,0,0,1
flat,confirmed_b,flat_origin,trail,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
