scheme,signal,candidate,dimension,value,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct
time_symbol,jf,decay730,fold_start,2021-08-27,15,6,53.333333333333336,46.666666666666664,0.2775713115206783,0.30453683264575093,0.02696552112507261,0.7504930197325825,0.8127366159536157,0,0,0.0,,,,,,
time_symbol,jf,decay730,fold_start,2022-08-27,6,5,66.66666666666666,33.33333333333333,0.26120636557261917,0.2921846205852295,0.030978255012610284,0.7155507893915386,0.7786825937002894,0,0,0.0,,,,,,
time_symbol,jf,decay730,fold_start,2023-08-27,4,4,75.0,25.0,0.23792705352976468,0.29621249937732974,0.05828544584756504,0.6688438648709941,0.7864704457867833,0,0,0.0,,,,,,
time_symbol,jf,decay730,fold_start,2024-08-27,10,6,80.0,20.0,0.24778931447707833,0.29942358561497184,0.051634271137893574,0.6886875581145098,0.7929526924507923,0,0,0.0,,,,,,
time_symbol,jf,decay730,fold_start,2025-08-27,9,6,77.77777777777779,22.22222222222222,0.19635680632576158,0.2537959583927181,0.057439152066956524,0.5838855237972757,0.7007555765682658,9,6,100.0,77.77777777777779,22.22222222222222,0.0,0.0,45.25889691069889,93.67748928821533
time_symbol,jf,decay730,symbol,AAOI,8,1,62.5,37.5,0.20006711255783483,0.24309008696309486,0.043022974405260025,0.590202629419435,0.6772370830701706,2,1,25.0,100.0,0.0,37.5,37.5,34.2380227506653,100.0
time_symbol,jf,decay730,symbol,MRNA,8,1,75.0,25.0,0.2538387528989883,0.3091789601662058,0.05534020726721754,0.7009473836748354,0.8148911030506332,1,1,12.5,100.0,0.0,25.0,25.0,20.654931437723747,100.0
time_symbol,jf,decay730,symbol,MSFT,1,1,100.0,0.0,0.13513866154585194,0.24212648022171834,0.1069878186758664,0.4582523190747948,0.6773988235918061,1,1,100.0,100.0,0.0,0.0,0.0,20.654931437723747,100.0
time_symbol,jf,decay730,symbol,NFLX,2,1,100.0,0.0,0.13686085327902334,0.25,0.11313914672097666,0.4619514873181894,0.6931471805599453,2,1,100.0,100.0,0.0,0.0,0.0,34.2380227506653,100.0
time_symbol,jf,decay730,symbol,NVDA,2,1,100.0,0.0,0.24054819962929413,0.31360000000000005,0.07305180037070591,0.6742412950693161,0.8209805520698302,0,0,0.0,,,,,,
