symbol,episode_id,date,available_at,position,age,close,mid,setup_high,above_high,above_mid,both
NFLX,NFLX:2021-12-22,2021-12-28,2021-12-30,flat,3,61.07099914550781,61.01740016937256,61.48199844360352,False,True,False
NFLX,NFLX:2021-12-22,2021-12-29,2021-12-30,flat,4,61.05400085449219,60.86060009002686,61.48199844360352,False,True,False
NFLX,NFLX:2021-12-22,2021-12-30,2021-12-30,flat,5,61.20899963378906,60.832200050354004,61.48199844360352,False,True,False
NFLX,NFLX:2022-01-31,2022-02-01,2022-02-07,flat,1,45.7130012512207,48.08414993286133,42.77000045776367,True,False,False
NFLX,NFLX:2022-01-31,2022-02-02,2022-02-07,flat,2,42.948001861572266,47.275799942016604,42.77000045776367,True,False,False
NFLX,NFLX:2022-01-31,2022-02-03,2022-02-07,flat,3,40.560001373291016,46.466200065612796,42.77000045776367,False,False,False
NFLX,NFLX:2022-01-31,2022-02-04,2022-02-07,flat,4,41.016998291015625,45.750600051879886,42.77000045776367,False,False,False
NFLX,NFLX:2022-01-31,2022-02-07,2022-02-07,flat,5,40.209999084472656,45.05580005645752,42.77000045776367,False,False,False
NFLX,NFLX:2022-05-13,2022-05-16,2022-05-20,flat,1,18.650999069213867,20.167449760437012,18.777000427246097,False,False,False
NFLX,NFLX:2022-05-13,2022-05-17,2022-05-20,flat,2,19.055999755859375,19.377199745178224,18.777000427246097,True,False,False
NFLX,NFLX:2022-05-13,2022-05-18,2022-05-20,flat,3,17.7189998626709,19.13219976425171,18.777000427246097,False,False,False
NFLX,NFLX:2022-05-13,2022-05-19,2022-05-20,flat,4,18.347999572753903,18.958499717712403,18.777000427246097,False,False,False
NFLX,NFLX:2022-05-13,2022-05-20,2022-05-20,flat,5,18.635000228881836,18.812649726867676,18.777000427246097,False,False,False
NFLX,NFLX:2023-08-23,2023-08-24,2023-08-30,flat,1,40.69300079345703,42.42834987640381,43.70199966430664,False,False,False
NFLX,NFLX:2023-08-23,2023-08-25,2023-08-30,flat,2,41.60300064086914,42.37959995269775,43.70199966430664,False,False,False
NFLX,NFLX:2023-08-23,2023-08-28,2023-08-30,flat,3,41.805999755859375,42.27504997253418,43.70199966430664,False,False,False
NFLX,NFLX:2023-08-23,2023-08-29,2023-08-30,flat,4,42.999000549316406,42.23190002441406,43.70199966430664,False,True,False
NFLX,NFLX:2023-08-23,2023-08-30,2023-08-30,flat,5,43.46699905395508,42.25674991607666,43.70199966430664,False,True,False
NFLX,NFLX:2026-07-02,2026-07-06,2026-07-10,flat,1,76.0199966430664,76.99299926757813,78.44000244140625,False,False,False
NFLX,NFLX:2026-07-02,2026-07-07,2026-07-10,flat,2,76.18000030517578,76.69299926757813,78.44000244140625,False,False,False
NFLX,NFLX:2026-07-02,2026-07-08,2026-07-10,flat,3,75.58999633789062,76.34049911499024,78.44000244140625,False,False,False
NFLX,NFLX:2026-07-02,2026-07-09,2026-07-10,flat,4,75.47000122070312,76.04349899291992,78.44000244140625,False,False,False
NFLX,NFLX:2026-07-02,2026-07-10,2026-07-10,flat,5,73.37000274658203,75.61199913024902,78.44000244140625,False,False,False
YINN,YINN:2021-12-30,2021-12-31,2022-01-06,held,1,166.60000610351562,174.9200012207031,174.60000610351562,False,False,False
YINN,YINN:2021-12-30,2022-01-03,2022-01-06,held,2,166.1999969482422,174.45000076293945,174.60000610351562,False,False,False
YINN,YINN:2021-12-30,2022-01-04,2022-01-06,held,3,157.39999389648438,173.03000030517578,174.60000610351562,False,False,False
YINN,YINN:2021-12-30,2022-01-05,2022-01-06,held,4,148.39999389648438,170.7699996948242,174.60000610351562,False,False,False
YINN,YINN:2021-12-30,2022-01-06,2022-01-06,held,5,156.60000610351562,168.79000015258788,174.60000610351562,False,False,False
YINN,YINN:2022-03-16,2022-03-17,2022-03-23,held,1,91.0,118.39000053405762,102.5999984741211,False,False,False
YINN,YINN:2022-03-16,2022-03-18,2022-03-23,held,2,104.8000030517578,114.73000068664551,102.5999984741211,True,False,False
YINN,YINN:2022-03-16,2022-03-21,2022-03-23,held,3,91.8000030517578,111.19000053405762,102.5999984741211,False,False,False
YINN,YINN:2022-03-16,2022-03-22,2022-03-23,held,4,103.0,108.84000053405762,102.5999984741211,True,False,False
YINN,YINN:2022-03-16,2022-03-23,2022-03-23,held,5,101.8000030517578,106.69000053405762,102.5999984741211,False,False,False
YINN,YINN:2022-05-03,2022-05-04,2022-05-10,flat,1,86.19999694824219,81.45000038146972,86.5999984741211,False,True,False
YINN,YINN:2022-05-03,2022-05-05,2022-05-10,flat,2,73.0,80.21000022888184,86.5999984741211,False,False,False
YINN,YINN:2022-05-03,2022-05-06,2022-05-10,flat,3,66.4000015258789,78.85000038146973,86.5999984741211,False,False,False
YINN,YINN:2022-05-03,2022-05-09,2022-05-10,flat,4,58.79999923706055,77.10000019073486,86.5999984741211,False,False,False
YINN,YINN:2022-05-03,2022-05-10,2022-05-10,flat,5,60.79999923706055,75.77000007629394,86.5999984741211,False,False,False
YINN,YINN:2022-08-25,2022-08-26,2022-09-01,held,1,70.41999816894531,65.64000015258789,72.22000122070312,False,True,False
YINN,YINN:2022-08-25,2022-08-29,2022-09-01,held,2,68.37999725341797,65.72599983215332,72.22000122070312,False,True,False
YINN,YINN:2022-08-25,2022-08-30,2022-09-01,held,3,62.86000061035156,65.60900001525879,72.22000122070312,False,False,False
YINN,YINN:2022-08-25,2022-08-31,2022-09-01,held,4,66.83000183105469,65.61399993896484,72.22000122070312,False,True,False
YINN,YINN:2022-08-25,2022-09-01,2022-09-01,held,5,64.54000091552734,65.35400009155273,72.22000122070312,False,False,False
YINN,YINN:2022-10-04,2022-10-05,2022-10-11,flat,1,47.27000045776367,49.64250011444092,47.40999984741211,False,False,False
YINN,YINN:2022-10-04,2022-10-06,2022-10-11,flat,2,46.0,49.10250015258789,47.40999984741211,False,False,False
YINN,YINN:2022-10-04,2022-10-07,2022-10-11,flat,3,42.880001068115234,48.20550022125244,47.40999984741211,False,False,False
YINN,YINN:2022-10-04,2022-10-10,2022-10-11,flat,4,38.95000076293945,46.99400024414062,47.40999984741211,False,False,False
YINN,YINN:2022-10-04,2022-10-11,2022-10-11,flat,5,35.7599983215332,46.028000068664554,47.40999984741211,False,False,False
YINN,YINN:2025-04-14,2025-04-15,2025-04-22,held,1,30.65999984741211,37.25500011444092,32.2599983215332,False,False,False
YINN,YINN:2025-04-14,2025-04-16,2025-04-22,held,2,28.530000686645508,36.10750017166138,32.2599983215332,False,False,False
YINN,YINN:2025-04-14,2025-04-17,2025-04-22,held,3,28.56999969482422,35.18500013351441,32.2599983215332,False,False,False
YINN,YINN:2025-04-14,2025-04-21,2025-04-22,held,4,28.5,34.38700017929077,32.2599983215332,False,False,False
YINN,YINN:2025-04-14,2025-04-22,2025-04-22,held,5,31.209999084472656,33.70600004196167,32.2599983215332,False,False,False
YINN,YINN:2026-03-16,2026-03-17,2026-03-23,flat,1,36.150001525878906,37.32600002288818,36.61000061035156,False,False,False
YINN,YINN:2026-03-16,2026-03-18,2026-03-23,flat,2,34.22999954223633,36.90849990844727,36.61000061035156,False,False,False
YINN,YINN:2026-03-16,2026-03-19,2026-03-23,flat,3,34.130001068115234,36.50699996948242,36.61000061035156,False,False,False
YINN,YINN:2026-03-16,2026-03-20,2026-03-23,flat,4,31.219999313354492,35.93099985122681,36.61000061035156,False,False,False
YINN,YINN:2026-03-16,2026-03-23,2026-03-23,flat,5,31.790000915527344,35.40299997329712,36.61000061035156,False,False,False
SNOW,SNOW:2022-06-02,2022-06-03,2022-06-09,held,1,129.82000732421875,138.51850204467775,140.6999969482422,False,False,False
SNOW,SNOW:2022-06-02,2022-06-06,2022-06-09,held,2,128.07000732421875,137.15850219726562,140.6999969482422,False,False,False
SNOW,SNOW:2022-06-02,2022-06-07,2022-06-09,held,3,131.25999450683594,136.55700225830077,140.6999969482422,False,False,False
SNOW,SNOW:2022-06-02,2022-06-08,2022-06-09,held,4,135.57000732421875,136.14750289916992,140.6999969482422,False,False,False
SNOW,SNOW:2022-06-02,2022-06-09,2022-06-09,held,5,133.22999572753906,136.16500244140624,140.6999969482422,False,False,False
SNOW,SNOW:2022-12-12,2022-12-13,2022-12-19,held,1,150.5800018310547,145.50699996948242,151.39999389648438,False,True,False
SNOW,SNOW:2022-12-12,2022-12-14,2022-12-19,held,2,149.1999969482422,144.79249954223633,151.39999389648438,False,True,False
SNOW,SNOW:2022-12-12,2022-12-15,2022-12-19,held,3,142.64999389648438,144.21749954223634,151.39999389648438,False,False,False
SNOW,SNOW:2022-12-12,2022-12-16,2022-12-19,held,4,142.4499969482422,143.95549926757812,151.39999389648438,False,False,False
