rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin
R,NVDA,2021-12-23,2022-01-21,-21.156060427319932,19,trail,3.999334275411126,additional
R,NVDA,2022-02-01,2022-03-08,-15.272364759701828,24,trail,6.37745890882353,additional
R,NVDA,2022-03-17,2022-04-12,-6.749793594026643,18,trail,18.805968636355242,additional
R,NVDA,2022-05-05,2022-06-14,-20.96003688790774,27,trail,-1.384228378468888,additional
R,NVDA,2022-07-08,2022-08-31,-0.4974150175662162,38,signal,24.53019121689959,additional
R,NVDA,2022-09-13,2022-11-10,7.016486175183645,42,signal,5.796272777650824,additional
R,NVDA,2023-01-10,2023-04-26,73.80923506521238,73,signal,80.3685516770817,additional
R,NVDA,2023-08-16,2024-07-18,173.23187501774368,231,signal,204.6284770134514,additional
R,NVDA,2024-07-23,2024-08-26,2.791344025132303,25,terminal,5.880445307073301,additional
R,GOOGL,2022-01-31,2022-04-28,-13.401495871584467,61,trail,10.31439392086908,additional
R,GOOGL,2022-05-05,2022-09-28,-18.92549562164769,100,trail,1.560679689139799,additional
R,GOOGL,2022-09-29,2022-11-04,-13.595612885037333,26,trail,5.920523117823562,additional
R,GOOGL,2022-11-11,2024-08-26,75.12709424355796,448,terminal,101.90092696859163,additional
R,AAOI,2021-10-14,2021-11-08,-17.682124151236433,17,signal,19.17241852858971,additional
R,AAOI,2021-12-09,2022-01-10,-20.87156448575055,21,trail,0.679116515445588,additional
R,AAOI,2022-01-25,2022-02-28,-14.528879830647156,23,trail,10.075563074715642,v5
R,AAOI,2022-03-09,2022-04-22,-22.377697901746185,31,trail,-1.587300085546861,additional
R,AAOI,2022-05-04,2022-05-10,-19.00281676658796,4,trail,3.260866466677248,additional
R,AAOI,2022-06-23,2022-07-01,-21.076455494660163,6,trail,0.7653053777012309,additional
R,AAOI,2022-10-19,2022-11-07,-27.108457473238335,13,trail,-1.3651863802616737,additional
R,AAOI,2022-11-16,2022-12-28,-20.593829969853537,28,trail,0.8695644061371466,additional
R,AAOI,2023-01-13,2023-01-20,-1.913204859932649,4,signal,4.721035927736872,v5
R,AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail,26.37362011157598,v5
R,AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal,193.78530312430712,v5
R,AAOI,2023-08-03,2023-09-08,64.02270398715851,25,trail,102.88334613440058,additional
R,AAOI,2023-09-27,2023-10-05,-9.493027383666941,6,trail,14.068829222897339,additional
R,AAOI,2023-11-01,2023-12-01,77.64686966652803,21,signal,101.07962112487753,additional
R,AAOI,2024-02-05,2024-02-26,-25.980275879350177,14,trail,18.38351551048225,additional
R,AAOI,2024-03-21,2024-04-11,-19.199647014498012,14,trail,2.5429545065895454,additional
R,AAOI,2024-04-17,2024-06-21,-25.39859610915135,45,trail,4.1528239334234,v5
R,AAOI,2024-07-09,2024-07-25,4.496570815209799,12,trail,39.882356980267694,additional
R,AAOI,2024-08-16,2024-08-26,13.484272606347925,7,terminal,14.775413644960134,additional
P,TQQQ,2021-11-30,2021-12-03,-5.893343175395849,3,signal,-3.64803597937724,additional
P,TQQQ,2022-01-25,2022-02-22,-9.61779533821755,19,trail,19.113549955302723,v5
P,TQQQ,2022-02-25,2022-03-15,-18.42340268681586,12,trail,4.920004571506165,v5
P,TQQQ,2022-06-16,2022-08-18,61.74645842324884,43,signal,69.16050991105432,v5
P,TQQQ,2022-10-14,2022-11-04,-8.847584570476009,15,trail,13.60199577168546,v5
