position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
held,raw_jf,symbol,AAOI,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,source_trusted,false,5,5,0,2,2,3,40.0,60.0,-5.98039501501335,-1.5151531415146136,13.197429106246284,-20.597715124328822,0,0,4,0,0,4,0
held,raw_jf,source_trusted,true,1,1,0,1,0,0,0.0,0.0,-6.341944941586997,-6.341944941586997,16.23915604680237,-6.374954807493416,0,0,1,0,0,1,0
held,tradable_jf,all,all,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,MSFT,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,YINN,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,SNOW,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,MRNA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,symbol,AAOI,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,source_trusted,false,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,tradable_jf,source_trusted,true,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
