case,rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_profit_enabled,entry_stop_pct,entry_limit
full5y,P-confirm5-v5profit50,GOOGL,2026-08-04,2026-08-27,-7.672306384325067,18,terminal,2.5609669883546404,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2023-01-13,2023-01-20,-1.91320485993266,4,signal,4.721035927736872,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2023-03-29,2023-04-26,10.218788058805828,19,profit_lock,26.37362011157598,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2023-05-09,2023-06-22,164.72400659945325,30,signal,193.78530312430712,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2023-08-08,2023-09-06,11.127365713424231,20,max_hold,33.104036026748474,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,AAOI,2024-04-17,2024-06-21,-25.398596109151363,45,trail,4.1528239334234,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2024-07-11,2024-07-19,11.11432977379252,6,profit_lock,27.16577388474675,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2024-08-20,2024-12-06,335.1005535215784,76,signal,412.5727357063207,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2025-03-13,2025-03-27,13.315317175161368,10,profit_lock,31.7563624345935,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2025-04-08,2025-04-17,-13.641687661864776,7,trail,14.96063297101613,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2025-05-02,2025-05-22,11.776111500711917,14,profit_lock,33.04918633132685,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2025-09-16,2025-11-04,4.168451869554812,35,profit_lock,25.31986621073543,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2025-11-24,2025-12-15,61.52174361934124,14,signal,74.53147826488646,v5,True,,
full5y,P-confirm5-v5profit50,AAOI,2026-01-21,2026-01-26,-9.924142596094587,3,hard_stop,-2.613546773115527,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,AAOI,2026-03-25,2026-03-27,-8.283966913107,2,hard_stop,3.8957508250339057,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,AAOI,2026-05-14,2026-05-15,-11.790513474953245,1,hard_stop,-5.9201392316870605,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,AAOI,2026-07-31,2026-08-19,35.443001007003886,13,signal,54.73526648423699,v5,True,,
early8,v5,TQQQ,2018-02-16,2018-03-26,-7.5752852930390695,25,trail,15.905286423995424,v5,False,,
early8,v5,TQQQ,2018-10-15,2018-10-30,-19.687474990680364,11,trail,5.899748846108954,v5,False,,
early8,v5,TQQQ,2019-01-08,2019-01-23,5.343160085466869,10,signal,10.371105881699293,v5,False,,
early8,v5,TQQQ,2020-03-02,2020-03-10,-14.41386816457577,6,trail,12.135743497221263,v5,False,,
early8,v5,MSFT,2018-10-26,2020-02-28,43.91648457867614,335,signal,78.54100916768934,v5,False,,
early8,v5,NFLX,2019-01-04,2019-07-24,9.936604040205332,138,trail,36.593581407748886,v5,False,,
early8,v5,NFLX,2020-03-31,2021-08-26,49.21869143705011,356,terminal,59.36183523510057,v5,False,,
early8,v5,YINN,2018-05-15,2018-06-22,-19.458559173124847,27,trail,4.406678356867544,v5,False,,
early8,v5,YINN,2018-07-23,2018-08-16,-10.503991656999723,18,trail,14.487928182304044,v5,False,,
early8,v5,YINN,2018-08-20,2018-09-11,-12.131060760141443,15,trail,15.23595231302668,v5,False,,
early8,v5,YINN,2018-09-13,2018-10-11,-18.215004492195785,20,trail,10.507413325520542,v5,False,,
early8,v5,YINN,2018-10-15,2018-11-09,1.0442221385676742,19,signal,16.80216802168022,v5,False,,
early8,v5,YINN,2019-01-17,2019-01-29,9.69719727879388,7,signal,12.0456885841286,v5,False,,
early8,v5,YINN,2019-08-14,2019-09-17,23.840040995429625,23,signal,33.103915921868676,v5,False,,
early8,v5,YINN,2020-03-02,2020-03-13,-19.752576204848225,9,trail,4.489794138916725,v5,False,,
early8,v5,YINN,2020-10-12,2020-12-07,14.761313748877146,39,signal,30.746611355875665,v5,False,,
early8,v5,YINN,2021-03-29,2021-05-13,-13.9929739864182,32,trail,9.551766135681428,v5,False,,
early8,v5,YINN,2021-05-27,2021-07-09,-16.286274020854606,29,trail,7.654984877758597,v5,False,,
early8,v5,YINN,2021-07-12,2021-07-27,-33.02304593375068,11,trail,5.015869140624996,v5,False,,
early8,v5,YINN,2021-07-29,2021-08-23,-16.911706007482586,17,trail,4.088048013364376,v5,False,,
