case,rule,symbols,start,end,cost,profit_keep,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
without_MSFT,P-confirm5-v5profit50,"TQQQ,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,161.48538174376714,21.289194090207598,15.618202575952111,1.2595045735174826,1.3631014187885684,112,55.35714285714286,-34.38185233852088,6.3048487407673885,0.3092518813634351,38,142,60.56338028169014,36.61971830985916,99,57.57575757575758,38.38383838383838,43,67.44186046511628,32.55813953488372,60,53.333333333333336,40.0,,,,
only_MSFT,v5,MSFT,2021-08-27,2026-08-27,0.001,,25.06134511355913,4.5928526438054895,24.162530104592793,0.3265729431604539,0.19008161082156225,4,50.0,-21.59643001259398,9.7371215662379,0.5250996015936255,2,6,66.66666666666666,33.33333333333333,5,60.0,40.0,1,100.0,0.0,1,100.0,0.0,,,,
only_MSFT,P-confirm5-v5profit50,MSFT,2021-08-27,2026-08-27,0.001,0.5,43.36946111666913,7.501864637854294,27.24527434368299,0.4407907201847706,0.2753455349071812,6,50.0,-21.59643001259399,8.761679903273095,0.6804780876494024,3,13,53.84615384615385,23.076923076923077,12,50.0,25.0,1,100.0,0.0,1,100.0,0.0,,,,
without_NFLX,v5,"TQQQ,MSFT,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,140.61795650480354,19.280500808384595,16.56043677212634,1.1410802759472907,1.164250742518852,76,50.0,-34.38185233852087,0.06538526366255959,0.2958831341301461,31,94,57.446808510638306,41.48936170212766,52,50.0,48.07692307692308,42,66.66666666666666,33.33333333333333,56,51.78571428571429,41.07142857142857,,,,
without_NFLX,P-confirm5-v5profit50,"TQQQ,MSFT,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,130.62115536646394,18.268473498848657,16.173090671395794,1.085915792028196,1.1295598268770495,109,53.21100917431193,-34.38185233852088,4.168451869554812,0.32598494909251885,39,138,57.2463768115942,38.405797101449274,96,53.125,40.625,42,66.66666666666666,33.33333333333333,56,51.78571428571429,41.07142857142857,,,,
only_NFLX,v5,NFLX,2021-08-27,2026-08-27,0.001,,328.96703639846294,33.96418538036807,21.57231063446934,1.3162533160342058,1.5744342808645804,6,100.0,7.260260420213327,16.57481672567573,0.5346613545816733,0,10,90.0,10.0,8,87.5,12.5,2,100.0,0.0,5,80.0,20.0,,,,
only_NFLX,P-confirm5-v5profit50,NFLX,2021-08-27,2026-08-27,0.001,0.5,321.0722207552902,33.46543720421617,29.40788810072914,1.3174781302969965,1.1379748552357432,9,77.77777777777779,-18.636438684823165,16.521418373581763,0.5298804780876494,2,17,82.35294117647058,11.76470588235294,15,80.0,13.333333333333334,2,100.0,0.0,5,80.0,20.0,,,,
without_YINN,v5,"TQQQ,MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,150.20298718432076,20.21976165861592,14.235218423150675,1.2896046327239274,1.4204040329815106,67,55.223880597014926,-27.047831583052417,3.7543327154057726,0.31677733510402833,25,86,62.7906976744186,36.04651162790697,51,54.90196078431373,43.13725490196079,35,74.28571428571429,25.71428571428571,53,52.83018867924528,39.62264150943396,,,,
without_YINN,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,166.4758925794998,21.75050037710655,13.279176579300378,1.312429363768834,1.6379404436123923,103,55.33980582524271,-27.047831583052407,6.17205366457938,0.35281097830898633,36,137,61.31386861313869,33.57664233576642,102,56.86274509803921,36.27450980392157,35,74.28571428571429,25.71428571428571,53,52.83018867924528,39.62264150943396,,,,
only_YINN,v5,YINN,2021-08-27,2026-08-27,0.001,,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,15,46.666666666666664,-34.38185233852087,-4.459071666167269,0.3466135458167331,6,18,50.0,50.0,9,55.55555555555556,44.44444444444444,9,44.44444444444444,55.55555555555556,8,62.5,37.5,,,,
only_YINN,P-confirm5-v5profit50,YINN,2021-08-27,2026-08-27,0.001,0.5,-15.95400636667147,-3.429771859864883,71.17162405797026,0.15064429584167863,-0.0481901587221234,15,53.333333333333336,-34.38185233852088,6.437643816955396,0.28844621513944224,5,18,50.0,50.0,9,55.55555555555556,44.44444444444444,9,44.44444444444444,55.55555555555556,8,62.5,37.5,,,,
