scheme,signal,candidate,bin_low,bin_high,events,mean_probability,observed_win_rate
time_symbol,s,dmi,0.0,0.2,0,,
time_symbol,s,dmi,0.2,0.4,35,0.346742912048907,0.4857142857142857
time_symbol,s,dmi,0.4,0.6,26,0.47921681290384543,0.6153846153846154
time_symbol,s,dmi,0.6,0.8,0,,
time_symbol,s,dmi,0.8,1.0,0,,
time_symbol,s,volatility,0.0,0.2,0,,
time_symbol,s,volatility,0.2,0.4,33,0.34447699380908664,0.48484848484848486
time_symbol,s,volatility,0.4,0.6,26,0.4737881678460913,0.5769230769230769
time_symbol,s,volatility,0.6,0.8,2,0.619783718226326,1.0
time_symbol,s,volatility,0.8,1.0,0,,
time_symbol,s,equal_ensemble,0.0,0.2,0,,
time_symbol,s,equal_ensemble,0.2,0.4,30,0.3664007586560278,0.5
time_symbol,s,equal_ensemble,0.4,0.6,31,0.44534677552283014,0.5806451612903226
time_symbol,s,equal_ensemble,0.6,0.8,0,,
time_symbol,s,equal_ensemble,0.8,1.0,0,,
time_symbol,b,cmf,0.0,0.2,0,,
time_symbol,b,cmf,0.2,0.4,1,0.39351789452885516,1.0
time_symbol,b,cmf,0.4,0.6,41,0.5254188579324868,0.5609756097560976
time_symbol,b,cmf,0.6,0.8,18,0.6393420177836898,0.4444444444444444
time_symbol,b,cmf,0.8,1.0,0,,
time_symbol,b,mfi,0.0,0.2,0,,
time_symbol,b,mfi,0.2,0.4,3,0.3610078254287461,0.3333333333333333
time_symbol,b,mfi,0.4,0.6,43,0.5252990395794307,0.627906976744186
time_symbol,b,mfi,0.6,0.8,14,0.6249836711391897,0.2857142857142857
time_symbol,b,mfi,0.8,1.0,0,,
time_symbol,b,obv,0.0,0.2,0,,
time_symbol,b,obv,0.2,0.4,1,0.3958555542113876,1.0
time_symbol,b,obv,0.4,0.6,44,0.527294531884174,0.5681818181818182
time_symbol,b,obv,0.6,0.8,15,0.6229914489532603,0.4
time_symbol,b,obv,0.8,1.0,0,,
