symbol,signal,date,source_trusted,warmup_complete,mature,reference_open,reference_open_date,outcome_date,return20_pct,direction_net_pct,mfe20_pct,mae20_pct,win,gross_win,interference,cmf21,cmf_delta5,mfi14,mfi_delta5,obv_flow20,obv_delta5,adx14,di_balance,relative_natr,range_shock
TQQQ,jf,2022-02-24,True,True,True,23.823372387867483,2022-02-25,2022-03-24,14.040011668695996,13.812045685370267,14.180011071545383,-20.880004399424145,True,True,False,0.02205855662700187,0.024171410002163576,-0.5163604154175871,-0.33141143800230455,-0.020429823079644437,0.04778899438673626,0.35231994683618906,-0.5439425189273849,0.48169855272139367,0.6581400314077986
TSLA,jf,2022-02-24,True,True,True,269.74334716796875,2022-02-25,2022-03-24,25.294407141119702,25.0439436212446,28.60372555563726,-6.57291872903455,True,True,False,-0.027395157405482914,0.04551557088286888,-0.23352057781549604,-0.15675490608625622,-0.0919817295038707,-0.0047470075764762115,0.2436250013039384,-0.5229341636321594,0.17721288138508184,0.6262588856505613
YINN,jf,2022-02-24,False,True,True,138.60000610351562,2022-02-25,2022-03-24,-28.715729653022205,-28.858226909445804,3.318896567212981,-59.595961375228576,False,False,True,0.06090521786607642,0.05414593564060664,-0.44339868915992753,-0.19413863149402075,-0.4433110349294131,-0.2538951607496276,0.13075827062404943,-0.38418115498412025,0.24751791291052508,0.5088815601269071
YINN,jf,2022-03-15,False,True,True,84.0,2022-03-16,2022-04-12,2.3809523809523725,2.1762928571428475,35.47619410923548,-2.8571446736653683,True,True,False,-0.14948190962661168,-0.06824008851569623,-0.6628233522798592,-0.01319881475671747,-0.7768626441761097,-0.1250171891517029,0.388152199328061,-0.7233963728982856,0.9659534978444336,-0.22403324248213904
SNOW,jf,2022-03-16,True,True,True,195.0,2022-03-17,2022-04-13,9.953848031850953,9.734050289635277,26.420515011518454,-2.020514072516022,True,True,False,-0.03683152000560814,0.09571330917725457,-0.6690252883640201,0.08964445324525672,-0.35313582409284106,0.055306092918822214,0.3777680694669585,-0.3123045560833305,0.35324630415755065,0.3519087375802779
SNOW,b,2022-03-22,True,True,True,221.17999267578125,2022-03-23,2022-04-20,-15.914638807245307,-16.08272544426962,11.456737695902097,-16.181388222847037,False,False,True,0.07407349528558142,0.2227676017764687,-0.3563994855079406,0.2482389670262273,-0.16592915146522302,0.29439850492427466,0.31004409901052815,-0.05821572014791563,0.17900396797850635,-0.03278127591941128
SNOW,jf,2022-05-26,True,True,True,127.9000015258789,2022-05-27,2022-06-27,15.832675628630199,15.601126110048579,18.999214333431013,-13.788117221141905,True,True,False,0.014927126026406511,0.16892326594381993,-0.4411769636136444,-0.0788635084451633,-0.26858446710757233,-0.22661150356453813,0.2964427245611587,-0.4688974181170245,0.33819019647830423,0.42566856630674105
YINN,s,2022-06-09,False,True,True,94.3000030517578,2022-06-10,2022-07-11,-11.24072721153324,11.040727211533241,13.319191041489198,-17.592792609115293,True,True,False,-0.022513570286861777,0.028271266204767696,0.38086654566494077,-0.018280099156270074,0.33743212783285953,0.1006874886232883,0.1812387754875174,0.22065204168113206,-0.33726936665117185,0.48844596718256383
TQQQ,jf,2022-06-15,True,True,True,10.953987668645077,2022-06-16,2022-07-15,16.528911597637407,16.295970303353723,23.966914733614942,-7.264028242366183,True,True,False,0.03911086146568349,-0.06368816772465716,0.03439538529559783,-0.034303223722110726,-0.09818482800809038,0.08481305252493947,0.24389173517212112,-0.29391293088263026,0.21499756210691912,-0.11427306530955007
AAOI,s,2022-08-05,True,True,True,1.8700000047683716,2022-08-08,2022-09-02,21.390373002041162,-21.59037300204116,63.10160131224565,-4.010697726870093,False,False,True,-0.018420880198641295,0.09220348706486745,0.22563417984598474,-0.012468162575649436,0.37830047273146544,0.04903479742869066,0.19465070498232495,0.2840931013840439,-0.1754194484375928,0.18682954993356557
TSLA,s,2022-08-05,True,True,True,295.0,2022-08-08,2022-09-02,-8.403392727092163,8.203392727092162,6.666663218352764,-9.779663085937496,True,True,False,0.038538389865290124,-0.1826353783563607,0.3575922041483636,-0.08461959768817481,0.5230564436605232,-0.03001424757167337,0.2340019116676564,0.1995122343107761,-0.4055036434095902,0.564752085908265
SNOW,s,2022-08-09,True,True,True,169.52000427246094,2022-08-10,2022-09-07,4.860777505132252,-5.060777505132252,21.31901750755174,-12.85394525468504,False,False,True,0.1341126963173042,0.0018277975246186462,0.24812701191070702,-0.0019160815091019134,0.17941043001127438,0.10801379147664124,0.21050213356097525,0.24773218607558026,-0.16173636948932385,0.13884812748278608
YINN,jf,2022-08-11,False,True,True,64.45999908447266,2022-08-12,2022-09-09,-5.646911947482868,-5.835523770499851,20.38473406186201,-14.272418389089891,False,False,True,0.1556812568346637,0.013444825135031063,-0.27434038270487493,-0.14637744968804933,-0.20945367357424216,0.14958973797571684,0.20949157428692813,-0.13798732503648423,-0.07431139143579658,0.30226777282200534
NFLX,s,2022-08-16,False,True,True,24.118000030517575,2022-08-17,2022-09-14,-7.073552418239359,6.87355241823936,2.197531660895935,-10.983498484512722,True,True,False,0.38283396220427984,0.03023167178223879,0.4464479088321355,0.03923689550718565,0.1685811609205532,-0.2245308530728285,0.4167839040211396,0.5366926864479349,-0.39324378547643524,-0.5766450076090008
MRNA,s,2022-08-17,False,True,True,157.0,2022-08-18,2022-09-15,-13.464967764107282,13.264967764107283,0.9617799406598238,-17.46496698658937,True,True,False,-0.04168398781239412,-0.11124946647630068,-0.06441291880215459,0.08083478586704565,-0.08104348674898726,-0.06594121657591466,0.18678861338037006,-0.021400542177653425,-0.011793408541305665,0.042128734850238075
TQQQ,s,2022-08-17,True,True,True,17.753175708393893,2022-08-18,2022-09-15,-32.662369225645214,32.46236922564522,1.8786924167275565,-33.84326174548185,True,True,False,0.25878534696515515,-0.07465344106857436,0.28346177117814536,0.031635427305374664,-0.07134683032164549,-0.2380254876482168,0.31244415252172414,0.3766694397827254,-0.4828462620294181,-0.02420806364773001
NVDA,s,2022-08-30,True,True,True,15.341407879469896,2022-08-31,2022-09-28,-17.18809188867376,16.98809188867376,1.0140414658639019,-20.58223122040801,True,True,False,0.06489573519277173,-0.12096900541255934,-0.12418072947407623,-0.028380489182567886,-0.15673514630944785,-0.2879731684936674,0.14561422717290087,-0.26650761769331544,0.03594140539506137,0.002507198352936591
TQQQ,jf,2022-10-13,True,True,True,9.4578795644804,2022-10-14,2022-11-10,8.060440166995075,7.844427347101246,14.05539698231333,-15.113361479610987,True,True,False,-0.07840797913098958,-0.059724215257551894,-0.07463962861436002,0.05703552690980068,-0.31525520881686575,-0.09121756091569247,0.3690962794248495,-0.5588472220738178,0.2856334094795521,0.6093181512295525
YINN,jf,2022-10-13,False,True,True,35.619998931884766,2022-10-14,2022-11-10,-15.272315524522496,-15.44168616578897,4.070749035428811,-44.806287375225814,False,False,True,-0.08155441566497028,-0.045638049181418186,-0.5491258413898725,0.026393118916112568,-0.45156743898067586,-0.19063473537345338,0.28523347776385305,-0.4758289134217513,0.23303974395528837,0.15138227765085108
TQQQ,b,2022-10-24,True,True,True,10.234519949628943,2022-10-25,2022-11-21,-1.396641556245637,-1.5937496697747022,11.499094589521807,-21.554932941575867,False,False,True,-0.05642572121686098,0.0671197012821321,-0.035010545099090254,0.028212386244767275,0.0029150265599654163,0.31653420538847116,0.36151711219765237,-0.2237456441634774,0.08102990724008631,-0.11123727580263684
YINN,b,2022-11-07,False,True,True,28.59000015258789,2022-11-08,2022-12-06,67.05140981683448,66.71747404861064,71.35362510318963,-10.66806303176766,True,True,False,-0.04083270200437868,-0.07628428156134895,0.09086119777762647,0.2185561713960579,0.10389561568088691,0.4246506822703484,0.3737673197252407,-0.09578990765622185,0.3297150296271028,-0.5465003593211144
NVDA,s,2022-11-09,True,True,True,14.76341034070044,2022-11-10,2022-12-08,16.036452154056825,-16.236452154056824,16.685238685621997,-1.709461190127548,False,False,True,-0.004318431752364043,0.1050250945969747,0.13804540151094258,-0.0527242060753359,0.49885485177210803,0.4277483349320896,0.18620705572378168,0.10781620517046732,-0.04350452944841555,0.18078027919515927
SNOW,jf,2022-11-10,True,True,True,146.63999938964844,2022-11-11,2022-12-09,-1.4388984036646901,-1.6359220457557666,14.566285255903644,-10.004090445993885,False,False,True,-0.11217872594088166,-0.06400470960908505,-0.35079185914536454,-0.18343394713296654,-0.08770478295512656,0.16930315781686828,0.22111912914403994,-0.1319062233195249,0.23886733545342465,0.7750548090607035
SNOW,b,2022-11-15,True,True,True,159.6300048828125,2022-11-16,2022-12-14,-6.533864320950933,-6.720703126173344,1.9231923645453897,-17.32757176974036,False,False,True,-0.1232350439258454,-0.05876852441214486,-0.13401106830895032,0.14092485847267866,-0.09673662583733422,0.0479903049588459,0.18658818722346823,0.09694281967607063,0.13134835600281863,-0.14443868631632595
NFLX,b,2022-12-01,False,True,True,31.048999786376953,2022-12-02,2022-12-30,-5.027533664098516,-5.217383624303984,7.159649547645874,-11.942414276199608,False,False,True,0.10797536253903331,0.18664449999799237,0.20796769266184215,0.09797109322131398,0.11905296456592479,0.3562069423319746,0.20354096322699797,0.3346543420457714,-0.14868455902108116,0.25416172213276156
TSLA,b,2022-12-02,True,True,True,189.44000244140625,2022-12-05,2023-01-03,-42.937079243568746,-43.051148022160845,0.9660060216799993,-44.763514547560476,False,False,True,-0.001295320020158337,0.07600652589753842,-0.06538505177154136,0.08556399531550823,-0.09283800913409737,0.08109363378776954,0.29458196880731297,-0.027443610116527434,-0.11598963077700805,-0.7338775537962446
YINN,s,2022-12-07,False,True,True,48.36000061035156,2022-12-08,2023-01-06,25.971872208589787,-26.171872208589786,26.488828364182737,-12.220843202692311,False,False,True,0.06830401691141491,0.0696071322791703,0.4612725161085524,-0.07266597411219619,0.3015674642966466,-0.2620766395773423,0.23702359252121663,0.24206039902180246,-0.1384428504784544,0.2367301520335465
YINN,b,2023-01-03,False,True,True,56.5,2023-01-04,2023-02-01,19.681420790410662,19.442177630250647,30.17699655178374,-1.4159278532045128,True,True,False,-0.11117939887935699,0.007076699630963287,0.10035488317642872,0.016497635123499423,-0.03679589888901206,-0.18335079940485582,0.2365143024165398,0.3099369264476276,-0.20209704257131167,0.4649881739356726
TQQQ,b,2023-01-11,True,True,True,9.348915741982776,2023-01-12,2023-02-09,24.59018012996257,24.341124359882784,40.62502238679389,-4.815566840116503,True,True,False,0.004430519360553883,0.10205663836341297,-0.12280420549963936,0.25261265727361476,-0.034114053601918035,0.2068140796664441,0.1374791980417314,0.18297350585732167,-0.20200830652511603,-0.3156847529384923
AAOI,b,2023-01-12,True,True,True,2.3299999237060547,2023-01-13,2023-02-10,13.733913396545972,13.506559303666288,24.29184563409521,-8.58368308214451,True,True,False,-0.2658548106615592,0.04962082919962657,0.2096706899399051,0.15856843087810596,-0.24693796918214145,0.12722739743252315,0.1726735794114136,0.3750285368780372,-0.1519094429085625,0.5610701897456962
SNOW,b,2023-01-12,True,True,True,139.3000030517578,2023-01-13,2023-02-10,12.943286708039569,12.717513077910203,28.28427353432652,-3.5606651867941874,True,True,False,-0.019524976884608018,0.03604744828405612,-0.051860568387107266,0.25336111393167354,-0.07602159256374838,0.12067272876143156,0.08292650480282043,0.07512488808331287,-0.1654555899957623,-0.11147359096738431
TSLA,b,2023-01-17,True,True,True,136.55999755859375,2023-01-18,2023-02-14,53.2293524757989,52.92304700019979,56.70767708397118,-8.970416094760026,True,True,False,0.04193085804759258,0.19484635280552629,0.021568026999543122,0.15168313745416726,-0.04804416369542967,0.11800289134408883,0.43184729849461556,-0.23292290768359009,0.08682380769817971,-0.02167387934941166
AAOI,s,2023-01-19,True,True,True,2.2899999618530273,2023-01-20,2023-02-16,28.820964926856508,-29.020964926856507,33.62445387568667,-6.986893016480245,False,False,True,-0.12305214924768756,0.20609051240577372,0.6452445545152369,0.2882149211007038,-0.07901796127828319,0.3029357097979111,0.23278655121438052,0.29387440756309996,-0.08802187044073538,-0.17966644245984303
