window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
training,B,symbol,TSLA,3,1,2,66.66666666666666,13.783103094108329,25.85765548340815,-26.593404828411128,12.32292585206209,10.875310611145268,1,1,2,0,-1.8051140394940788,-3.498116701032772,-8.458028881939272,3
training,B,symbol,YINN,5,1,2,40.0,2.2121201896599785,-7.5571202234804735,-26.9742832525411,-12.83402756510509,6.6217650710885385,4,2,2,0,0.7404508811335582,-11.813641687825227,-6.258066238895543,5
training,JF,all,all,25,6,10,40.0,5.914262775157648,-3.1678067374243724,-34.38185233852087,1.4456552534783895,-3.4424064395310268,11,15,8,0,0.13414302745873297,-26.89236735839884,-15.858583387069835,20
training,JF,exit_reason,signal,5,4,5,100.0,54.3593384473298,32.27609989487663,6.437643816955396,10.552275214004386,35.380227732748025,1,2,2,0,0.13414302745873297,-6.63101277886865,-15.858583387069835,5
training,JF,exit_reason,trail,18,6,3,16.666666666666664,-9.396589095579817,-10.513505759912533,-34.38185233852087,-3.9407882103635403,-8.96365050613242,10,13,6,0,0.3734408278906205,-26.89236735839884,-11.955632199765464,13
training,JF,exit_reason,terminal,2,2,2,100.0,22.599240431364453,22.599240431364453,18.97800480303782,15.987761157598392,4.543761823050548,0,0,0,0,0.0,-3.1961450847609485,-7.608131129639418,2
training,JF,outcome,win,10,6,10,100.0,35.504694698150026,19.16561714747227,6.437643816955396,11.54428204155814,6.262105105333772,2,3,2,0,0.06707151372936648,-11.259544568839475,-15.858583387069835,9
training,JF,outcome,nonpositive,15,5,0,0.0,-13.8126918401706,-12.0011368775506,-34.38185233852087,-4.111666971732152,-11.325364864625925,9,12,6,0,0.34061657055752903,-26.89236735839884,-11.486149334152774,11
training,JF,profit_to_loss,false,12,6,10,83.33333333333334,24.82829330255592,14.898694926592594,-34.38185233852087,10.665990047374063,4.543761823050548,4,5,2,0,0.27020405634122246,-26.89236735839884,-15.858583387069835,10
training,JF,profit_to_loss,true,13,5,0,0.0,-11.544842327056141,-11.409216181607517,-26.410032710845943,-3.7699094489949285,-9.783075138380477,7,10,6,0,0.0,-8.0309930171088,-11.486149334152774,10
training,JF,symbol,AAOI,4,1,1,25.0,31.1491576649137,-7.364389915323566,-25.39859610915135,4.006069093983237,1.5885763019219001,2,2,1,0,0.5387883912924121,-6.650245929355048,-15.858583387069835,3
training,JF,symbol,GOOGL,0,0,0,,,,,,,0,0,0,0,,,,0
training,JF,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,-22.72557501230831,-2.9597073680003425,-5.21753894724635,2,2,2,0,-0.4293000866563257,-3.8177084090291524,-8.813101247785593,3
training,JF,symbol,MSFT,0,0,0,,,,,,,0,0,0,0,,,,0
training,JF,symbol,NFLX,0,0,0,,,,,,,0,0,0,0,,,,0
training,JF,symbol,SNOW,4,1,2,50.0,6.523465499759082,2.909449490855148,-12.0011368775506,-6.279704171126374,1.3498374661669523,3,2,1,0,0.4381223866377404,-6.477700068441461,-9.293322731036735,4
