position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
flat,raw_b,symbol,NVDA,3,3,0,1,2,1,66.66666666666666,33.33333333333333,3.2976353664595606,12.9459959301218,15.084608259923563,-9.700806377207234,0,0,0,0,0,3,0
flat,raw_b,symbol,GOOGL,6,5,1,1,2,2,40.0,40.0,2.637023742582394,-0.23190447839982475,7.08615115775455,-4.848274220362801,0,0,0,0,0,6,0
flat,raw_b,symbol,AAOI,17,16,1,1,7,9,43.75,56.25,12.333838416672442,-13.77217557533465,36.55828734605189,-17.137785833301482,3,0,1,0,2,11,2
flat,raw_b,source_trusted,false,52,51,1,5,19,29,37.254901960784316,56.86274509803921,-1.1156273492404736,-2.5676933455157203,12.535193329218776,-14.615816262938619,6,0,2,0,4,37,4
flat,raw_b,source_trusted,true,48,46,2,5,26,18,56.52173913043478,39.130434782608695,12.000240423683344,6.911089876699828,26.98573217149357,-12.28678865901023,5,0,1,0,4,34,4
flat,raw_b,flat_origin,initial,14,14,0,6,1,11,7.142857142857142,78.57142857142857,-9.164086658658949,-8.109062353118997,5.976815598924965,-14.855550303984382,1,0,0,0,1,11,1
flat,raw_b,flat_origin,S,30,27,3,8,15,9,55.55555555555556,33.33333333333333,10.18170134202575,1.9461095476292822,21.008277559852992,-9.385691604894093,3,0,1,0,2,23,2
flat,raw_b,flat_origin,trail,56,56,0,9,29,27,51.78571428571429,48.214285714285715,6.223309672583923,2.8333097992721545,21.959636199605022,-15.16442018100747,7,0,2,0,5,37,5
flat,raw_b,raw_b_state,accepted,67,64,3,10,32,30,50.0,46.875,4.074765197908659,0.0621595232427441,17.38511761935068,-12.645945394613914,3,0,3,0,0,67,0
flat,raw_b,raw_b_state,suppressed,33,33,0,8,13,17,39.39393939393939,51.515151515151516,7.100881576121677,-4.6683044380166905,23.2724549103157,-15.189648559668171,8,0,0,0,8,4,8
