case,rule,mode,symbol,entry_date,exit_date,exit_reason,lifetime_return_pct,entered_before_window
full5y,v5,carry_mark,SNOW,2022-03-17,2022-04-19,trail,-0.7935845204045111,False
full5y,v5,carry_mark,SNOW,2022-05-27,2022-08-10,signal,32.27609989487663,False
full5y,v5,carry_mark,SNOW,2022-11-11,2023-01-05,trail,-12.0011368775506,False
full5y,v5,carry_mark,SNOW,2023-01-13,2023-02-06,signal,14.444136202171842,False
full5y,v5,carry_mark,SNOW,2023-09-01,2024-01-05,signal,16.50919972702114,False
full5y,v5,carry_mark,SNOW,2024-06-28,2024-08-06,trail,-14.331088418973547,False
full5y,v5,carry_mark,SNOW,2026-01-07,2026-02-04,trail,-27.047831583052417,False
full5y,v5,carry_mark,SNOW,2026-02-26,2026-04-10,trail,-25.89098544678904,False
full5y,v5,carry_mark,TSLA,2022-02-25,2022-04-27,trail,10.819385050147368,False
full5y,v5,carry_mark,TSLA,2022-12-05,2022-12-21,trail,-26.593404828411128,False
full5y,v5,carry_mark,TSLA,2023-01-18,2023-02-13,signal,42.08505862732797,False
full5y,v5,carry_mark,TSLA,2024-04-30,2024-07-12,signal,25.85765548340815,False
full5y,v5,carry_mark,TSLA,2024-10-28,2024-12-19,signal,67.02840620483397,False
full5y,v5,carry_mark,TSLA,2025-03-13,2025-04-09,trail,-9.627677945506463,False
full5y,v5,carry_mark,TSLA,2026-02-12,2026-06-08,signal,-8.078611631424515,False
full5y,v5,carry_mark,MRNA,2022-01-11,2022-01-20,trail,-22.72557501230831,False
full5y,v5,carry_mark,MRNA,2022-02-16,2022-04-22,trail,-3.1678067374243724,False
full5y,v5,carry_mark,MRNA,2023-08-18,2023-10-17,trail,-14.825943022421717,False
full5y,v5,carry_mark,MRNA,2023-11-03,2024-02-12,trail,19.35322949190672,False
full5y,v5,carry_mark,MRNA,2024-11-19,2025-01-14,trail,-9.80913675287911,False
full5y,v5,carry_mark,MRNA,2025-02-18,2025-04-01,trail,-13.335461051097441,False
full5y,v5,carry_mark,MRNA,2025-04-29,2025-08-04,signal,1.7986428200841953,False
full5y,v5,carry_mark,MRNA,2025-11-13,2026-02-06,trail,57.40207017947048,False
full5y,v5,carry_mark,NVDA,2025-01-07,2025-02-04,trail,-23.72333142580999,False
full5y,v5,carry_mark,NVDA,2025-04-08,2026-03-31,trail,60.55824726413286,False
full5y,v5,carry_mark,NVDA,2026-04-08,2026-06-09,signal,14.06175833620351,False
full5y,v5,carry_mark,GOOGL,2022-02-02,2022-04-28,trail,-23.185264576067965,False
full5y,v5,carry_mark,GOOGL,2024-03-15,2024-09-09,trail,6.810615458117031,False
full5y,v5,carry_mark,GOOGL,2024-09-18,2025-03-12,trail,3.995375811745916,False
full5y,v5,carry_mark,GOOGL,2026-03-12,2026-06-02,signal,19.241631641253253,False
full5y,v5,carry_mark,AAOI,2022-01-25,2022-02-28,trail,-14.528879830647135,False
full5y,v5,carry_mark,AAOI,2023-01-13,2023-01-20,signal,-1.91320485993266,False
full5y,v5,carry_mark,AAOI,2023-03-29,2023-05-02,trail,-0.1998999999999973,False
full5y,v5,carry_mark,AAOI,2023-05-09,2023-06-22,signal,164.7240065994533,False
full5y,v5,carry_mark,AAOI,2024-04-17,2024-06-21,trail,-25.39859610915135,False
full5y,v5,carry_mark,AAOI,2024-07-11,2024-07-25,trail,-5.003121316486691,False
full5y,v5,carry_mark,AAOI,2024-08-20,2024-12-06,signal,335.1005535215784,False
full5y,v5,carry_mark,AAOI,2025-03-13,2025-03-28,trail,3.7543327154057726,False
full5y,v5,carry_mark,AAOI,2025-04-08,2025-04-17,trail,-13.641687661864788,False
full5y,v5,carry_mark,AAOI,2025-05-02,2025-06-02,trail,0.19275887723202434,False
full5y,v5,carry_mark,AAOI,2025-09-16,2025-11-05,trail,3.2947802138015847,False
full5y,v5,carry_mark,AAOI,2025-11-24,2025-12-15,signal,61.521743619341265,False
full5y,v5,carry_mark,AAOI,2026-07-31,2026-08-19,signal,35.44300100700386,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2022-01-25,2022-02-22,trail,-9.61779533821755,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2022-02-25,2022-03-15,trail,-18.423402686815884,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2022-06-16,2022-06-29,profit_lock,7.570545245656168,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2022-10-14,2022-11-04,trail,-8.84758457047603,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2023-01-12,2023-01-31,signal,12.172843726286375,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2023-05-01,2023-05-05,hard_stop,-3.8173746313447166,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2023-10-10,2023-10-27,trail,-17.082673786856507,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2023-12-11,2024-01-10,max_hold,10.336111055260954,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2024-05-06,2024-07-22,signal,28.498565677603473,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2024-08-06,2024-09-04,profit_lock,12.540143330131738,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2024-11-08,2024-11-18,hard_stop,-9.048641453484752,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2025-04-08,2025-04-22,trail,-4.443444330368084,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2025-06-25,2025-07-24,max_hold,11.908208101823714,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2025-08-07,2025-08-25,signal,-1.594386733820241,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2025-09-08,2025-10-06,max_hold,15.474943409266606,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2025-10-21,2025-11-18,signal,-7.534607162583451,False
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,2026-04-10,2026-06-10,signal,44.92850827790993,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2021-09-16,2021-09-29,hard_stop,-6.330628771426405,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2022-02-01,2022-06-14,trail,-21.59643001259399,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2023-04-28,2025-03-11,profit_lock,24.417738511835196,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2025-03-25,2026-01-15,profit_lock,17.585348156453094,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2026-04-15,2026-06-10,signal,-0.06198834990690516,False
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,2026-06-29,2026-08-27,terminal,33.52328016515873,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2021-09-30,2021-10-28,max_hold,10.123966741536506,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2021-11-17,2021-11-24,hard_stop,-4.826860437044889,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2022-11-14,2022-12-13,max_hold,12.877351857191965,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2023-03-27,2023-07-28,signal,26.615563913745333,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2023-10-25,2025-01-03,signal,114.25523844028564,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2025-03-25,2025-08-01,profit_lock,18.65762523967134,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2025-08-12,2025-12-08,trail,-18.636438684823165,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2026-02-26,2026-04-20,signal,16.521418373581763,False
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,2026-07-20,2026-08-27,terminal,16.62821507776968,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2021-09-23,2021-11-01,profit_lock,7.253652262093291,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2021-12-31,2022-01-24,signal,6.437643816955396,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2022-02-25,2022-03-08,trail,-26.410032710845943,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2022-03-16,2022-03-18,profit_lock,9.304871428571438,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2022-08-12,2022-09-07,trail,-11.40921618160753,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2022-10-14,2022-10-25,trail,-34.38185233852088,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2022-11-08,2022-11-23,profit_lock,20.744507023579484,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2023-01-04,2023-01-31,profit_lock,11.581807686027613,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2023-06-14,2023-06-21,signal,-7.557120223480485,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2023-10-12,2023-11-30,trail,-24.892376600456235,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2024-01-02,2024-01-17,trail,-26.97428325254111,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2024-08-06,2024-09-09,profit_lock,6.924852086161359,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2025-01-28,2025-02-25,signal,38.25064305242773,False
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,2025-04-10,2025-10-13,signal,75.14225258742854,False
