case,rule,mode,date,return
full5y,v5,reset_liquidate,2023-03-07,0.0
full5y,v5,reset_liquidate,2023-03-08,0.0
full5y,v5,reset_liquidate,2023-03-09,0.0
full5y,v5,reset_liquidate,2023-03-10,0.0
full5y,v5,reset_liquidate,2023-03-13,0.0
full5y,v5,reset_liquidate,2023-03-14,0.0
full5y,v5,reset_liquidate,2023-03-15,0.0
full5y,v5,reset_liquidate,2023-03-16,0.0
full5y,v5,reset_liquidate,2023-03-17,0.0
full5y,v5,reset_liquidate,2023-03-20,0.0
full5y,v5,reset_liquidate,2023-03-21,0.0
full5y,v5,reset_liquidate,2023-03-22,0.0
full5y,v5,reset_liquidate,2023-03-23,0.0
full5y,v5,reset_liquidate,2023-03-24,0.0
full5y,v5,reset_liquidate,2023-03-27,-6.64577191686333e-05
full5y,v5,reset_liquidate,2023-03-28,-0.00126349772568779
full5y,v5,reset_liquidate,2023-03-29,0.003079334206671458
full5y,v5,reset_liquidate,2023-03-30,0.0073920104163430755
full5y,v5,reset_liquidate,2023-03-31,0.01659093126877571
full5y,v5,reset_liquidate,2023-04-03,0.004430369043533356
full5y,v5,reset_liquidate,2023-04-04,-0.003932747880175192
full5y,v5,reset_liquidate,2023-04-05,-0.0057938150790863615
full5y,v5,reset_liquidate,2023-04-06,0.0005396671100548423
full5y,v5,reset_liquidate,2023-04-10,0.003638115387587604
full5y,v5,reset_liquidate,2023-04-11,0.0024726074062450753
full5y,v5,reset_liquidate,2023-04-12,-0.0012457448431196006
full5y,v5,reset_liquidate,2023-04-13,0.001536166336011835
full5y,v5,reset_liquidate,2023-04-14,-0.007116514819488495
full5y,v5,reset_liquidate,2023-04-17,0.0015566284897158722
full5y,v5,reset_liquidate,2023-04-18,0.0007511612359413667
full5y,v5,reset_liquidate,2023-04-19,-0.003625053525113575
full5y,v5,reset_liquidate,2023-04-20,-0.0025062100392250542
full5y,v5,reset_liquidate,2023-04-21,0.0017517683558344599
full5y,v5,reset_liquidate,2023-04-24,0.0007843820326134621
full5y,v5,reset_liquidate,2023-04-25,-0.008478076332822793
full5y,v5,reset_liquidate,2023-04-26,0.002053520501258621
full5y,v5,reset_liquidate,2023-04-27,-0.0038763184540968167
full5y,v5,reset_liquidate,2023-04-28,0.0017072674971474245
full5y,v5,reset_liquidate,2023-05-01,-0.008499831868607621
full5y,v5,reset_liquidate,2023-05-02,-0.002176114032141352
full5y,v5,reset_liquidate,2023-05-03,0.00022039175128667486
full5y,v5,reset_liquidate,2023-05-04,0.0007953136824433215
full5y,v5,reset_liquidate,2023-05-05,0.002332974466935922
full5y,v5,reset_liquidate,2023-05-08,0.0019742248752856574
full5y,v5,reset_liquidate,2023-05-09,0.00133943024846207
full5y,v5,reset_liquidate,2023-05-10,0.005494955414782221
full5y,v5,reset_liquidate,2023-05-11,-0.00548742455562432
full5y,v5,reset_liquidate,2023-05-12,-0.0029497823368640043
full5y,v5,reset_liquidate,2023-05-15,-0.003976840381292257
full5y,v5,reset_liquidate,2023-05-16,0.005587458442052951
full5y,v5,reset_liquidate,2023-05-17,0.0031636697011306002
full5y,v5,reset_liquidate,2023-05-18,0.01122999908630531
full5y,v5,reset_liquidate,2023-05-19,-0.003939361666062136
full5y,v5,reset_liquidate,2023-05-22,0.0031728976187818114
full5y,v5,reset_liquidate,2023-05-23,-0.00604975319601706
full5y,v5,reset_liquidate,2023-05-24,0.004367166584109905
full5y,v5,reset_liquidate,2023-05-25,0.0016742110622448235
full5y,v5,reset_liquidate,2023-05-26,0.016247590436893257
full5y,v5,reset_liquidate,2023-05-30,0.02426944691224664
full5y,v5,reset_liquidate,2023-05-31,-0.003757129878477283
full5y,v5,reset_liquidate,2023-06-01,0.0028243017978596074
full5y,v5,reset_liquidate,2023-06-02,0.002903014112913638
full5y,v5,reset_liquidate,2023-06-05,0.0035707708948012453
full5y,v5,reset_liquidate,2023-06-06,0.015012282923980557
full5y,v5,reset_liquidate,2023-06-07,-0.002966571931221118
full5y,v5,reset_liquidate,2023-06-08,0.01768861626393279
full5y,v5,reset_liquidate,2023-06-09,0.005956568028290321
full5y,v5,reset_liquidate,2023-06-12,0.0049810361602714345
full5y,v5,reset_liquidate,2023-06-13,0.014147362134236108
