rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_stop_pct,entry_limit,use_extra_exit
P-stop5-hold10,TQQQ,2023-08-30,2023-09-14,-0.03128428143147621,10,max_hold,2.4378511192259644,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2023-10-10,2023-10-27,-17.082673786856507,13,trail,3.499080772653551,v5,,,False
P-stop5-hold10,TQQQ,2023-12-08,2023-12-22,16.198236700572966,10,max_hold,16.884297113549284,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2024-01-09,2024-01-24,19.253386236974592,10,max_hold,16.26103048464602,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2024-02-23,2024-03-08,3.229029112597903,10,max_hold,3.7810124888688845,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2024-04-12,2024-04-16,-7.183242054666172,2,hard_stop,-1.9372074594530497,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2024-05-06,2024-07-22,28.498565677603473,52,signal,48.47578465194693,v5,,,False
P-stop5-hold10,TQQQ,2024-08-06,2024-08-26,26.220476059691112,15,terminal,32.69905581555563,v5,,,False
P-stop5-hold10,MSFT,2021-09-15,2021-09-29,-6.176191377420892,10,hard_stop,0.6463072584456109,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2021-10-14,2021-10-28,8.178757452256935,10,max_hold,8.007761323790374,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2021-11-30,2021-12-14,-0.8249173403128696,10,max_hold,2.153167440952064,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2022-02-01,2022-06-14,-21.596430012594013,92,trail,1.6107728298095259,v5,,,False
P-stop5-hold10,MSFT,2023-03-15,2023-03-29,7.086059953586243,10,max_hold,7.919838244400035,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2023-04-27,2023-05-11,4.564690649353054,10,max_hold,5.520828553737767,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2023-07-13,2023-07-27,0.07050120376190794,10,max_hold,5.8693582339133465,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2023-08-24,2023-09-08,-1.0274476808153743,10,max_hold,0.2102994371691258,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2023-12-11,2023-12-26,1.5659910555869905,10,max_hold,1.6554427388365989,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2024-02-23,2024-03-08,-2.0510341665666343,10,max_hold,-0.040901056665698654,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2024-04-08,2024-04-22,-6.089278625249794,10,hard_stop,0.6491472025027978,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2024-06-06,2024-06-21,5.300743371565786,10,max_hold,5.74514393304717,additional,5.0,10.0,False
P-stop5-hold10,MSFT,2024-08-16,2024-08-26,-1.8869667723366068,7,terminal,0.9985690985509388,v5,,,False
P-stop5-hold10,NFLX,2021-09-23,2021-10-07,8.489682209759586,10,max_hold,8.177188847180616,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2021-11-15,2021-11-30,-2.1102313755655744,10,max_hold,1.5339647708868975,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2021-12-28,2022-01-06,-10.036285053079775,7,hard_stop,-0.46507732834094595,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2022-11-11,2022-11-28,3.265302216310295,10,max_hold,13.01781574916645,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2022-12-02,2023-02-22,8.481864091411207,54,signal,18.509458235336695,v5,,,False
P-stop5-hold10,NFLX,2023-03-24,2023-04-10,4.356985434978178,10,max_hold,8.623645364856646,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2023-08-08,2023-08-17,-5.947310927059968,7,hard_stop,-0.46779332892287195,additional,5.0,10.0,False
P-stop5-hold10,NFLX,2023-10-25,2024-08-26,65.15162887570413,210,terminal,67.91018287200794,v5,,,False
P-stop5-hold10,YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail,25.800192888264583,v5,,,False
P-stop5-hold10,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,v5,,,False
P-stop5-hold10,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5,,,False
P-stop5-hold10,YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail,34.52380952380953,v5,,,False
P-stop5-hold10,YINN,2022-08-12,2022-09-07,-11.409216181607517,17,trail,11.929882951640703,v5,,,False
P-stop5-hold10,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5,,,False
P-stop5-hold10,YINN,2022-11-08,2022-12-08,68.81192274062582,21,signal,67.05140981683448,v5,,,False
P-stop5-hold10,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5,,,False
P-stop5-hold10,YINN,2023-06-14,2023-06-21,-7.5571202234804735,4,signal,10.657007108499927,v5,,,False
P-stop5-hold10,YINN,2023-10-12,2023-11-30,-24.892376600456224,34,trail,-3.064518590127263,v5,,,False
P-stop5-hold10,YINN,2024-01-02,2024-01-17,-26.9742832525411,10,trail,2.832127883109181,v5,,,False
P-stop5-hold10,YINN,2024-07-05,2024-07-19,-7.283035136019588,10,hard_stop,8.287287712224956,additional,5.0,10.0,False
P-stop5-hold10,YINN,2024-08-06,2024-08-26,18.97800480303784,15,terminal,24.476659037613068,v5,,,False
P-stop5-hold10,SNOW,2021-10-08,2021-10-22,5.026916737822451,10,max_hold,5.750494631001035,additional,5.0,10.0,False
P-stop5-hold10,SNOW,2021-12-09,2022-01-06,-20.63464743408202,19,trail,0.3351324957770352,v5,,,False
P-stop5-hold10,SNOW,2022-01-25,2022-02-14,6.612483502114808,14,signal,13.019943244198174,v5,,,False
P-stop5-hold10,SNOW,2022-03-17,2022-04-19,-0.7935845204045,22,trail,23.707690116686674,v5,,,False
P-stop5-hold10,SNOW,2022-05-27,2022-08-10,32.27609989487663,50,signal,33.58092577422396,v5,,,False
P-stop5-hold10,SNOW,2022-11-11,2023-01-05,-12.00113687755059,36,trail,11.490729796542198,v5,,,False
P-stop5-hold10,SNOW,2023-01-13,2023-02-06,14.444136202171842,15,signal,27.81765911778349,v5,,,False
P-stop5-hold10,SNOW,2023-06-02,2023-06-16,10.961726925881887,10,max_hold,10.841550983704785,additional,5.0,10.0,False
P-stop5-hold10,SNOW,2023-07-14,2023-07-25,-4.4846032939974245,7,hard_stop,1.7627308661190222,additional,5.0,10.0,False
P-stop5-hold10,SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal,27.280194787458868,v5,,,False
P-stop5-hold10,SNOW,2024-01-09,2024-01-24,6.701685858919704,10,max_hold,5.075393940377082,additional,5.0,10.0,False
P-stop5-hold10,SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail,7.090977914117302,v5,,,False
P-stop5-hold10,TSLA,2021-11-18,2021-12-03,-2.162439486709,10,max_hold,4.54746242432762,additional,5.0,10.0,False
P-stop5-hold10,TSLA,2021-12-27,2022-01-10,-7.047697187367296,10,max_hold,11.745689985964415,additional,5.0,10.0,False
P-stop5-hold10,TSLA,2022-02-25,2022-04-27,10.819385050147368,42,trail,41.5481363736643,v5,,,False
P-stop5-hold10,TSLA,2022-09-12,2022-09-26,-9.787643878730169,10,hard_stop,2.776671345311499,additional,5.0,10.0,False
P-stop5-hold10,TSLA,2022-12-05,2022-12-21,-26.593404828411117,12,trail,-3.6898254872679614,v5,,,False
P-stop5-hold10,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5,,,False
P-stop5-hold10,TSLA,2023-08-30,2023-09-14,6.521495625631668,10,max_hold,7.623914184377201,additional,5.0,10.0,False
P-stop5-hold10,TSLA,2024-04-30,2024-07-12,25.85765548340815,50,signal,40.79581547816411,v5,,,False
P-stop5-hold10,TSLA,2024-08-19,2024-08-26,-1.9745737638321659,6,terminal,2.8562199931111643,additional,5.0,10.0,False
P-stop5-hold10,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5,,,False
P-stop5-hold10,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,v5,,,False
P-stop5-hold10,MRNA,2022-12-08,2022-12-13,4.3744608384343575,3,hard_stop,3.1152311205703276,additional,5.0,10.0,False
P-stop5-hold10,MRNA,2023-01-11,2023-01-26,2.9014793358927315,10,max_hold,4.481092761328509,additional,5.0,10.0,False
P-stop5-hold10,MRNA,2023-08-18,2023-10-17,-14.825943022421729,41,trail,10.122758325063375,v5,,,False
P-stop5-hold10,MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail,57.94227421730067,v5,,,False
P-stop5-hold10,MRNA,2024-04-24,2024-05-08,7.843418918397171,10,max_hold,13.093194855074497,additional,5.0,10.0,False
P-stop5-hold10,MRNA,2024-07-17,2024-07-31,-2.299336721647005,10,max_hold,0.7594197025143412,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2021-09-24,2021-09-29,-5.309711466480027,3,hard_stop,0.049839962471831534,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2021-12-08,2021-12-13,-5.657871826687866,3,hard_stop,-0.5406429348527086,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-02-24,2023-03-10,0.607854540283026,10,max_hold,4.133941775183714,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-04-18,2023-04-26,-2.124648769558546,6,signal,1.4455365446523594,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-07-03,2023-07-18,9.62122957861775,10,max_hold,9.276312597120473,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-08-22,2023-08-23,-4.904281311070092,1,hard_stop,-5.125167009409582,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-10-03,2023-10-17,-1.9995288853055682,10,max_hold,4.769243445455862,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2023-12-14,2023-12-29,2.734905632972584,10,max_hold,3.4862524074535273,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2024-02-23,2024-03-08,17.529742327912157,10,max_hold,14.708948060080207,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2024-04-12,2024-04-18,-5.461424714937502,4,hard_stop,-1.6867529520855906,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2024-07-05,2024-07-18,-4.532557819523763,9,signal,5.911465899245183,additional,5.0,10.0,False
P-stop5-hold10,NVDA,2024-08-14,2024-08-26,6.477018605816065,9,terminal,9.676882347183845,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2021-10-08,2021-10-22,-0.5052141913728159,10,max_hold,2.6222112317512147,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2021-12-08,2021-12-22,-3.2622614716355636,10,max_hold,0.39973600427751776,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2022-02-02,2022-04-28,-23.185264576067965,59,trail,-2.148760330578514,v5,,,False
P-stop5-hold10,GOOGL,2023-04-28,2023-05-12,8.788075475131873,10,max_hold,8.903212535300376,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2023-07-14,2023-07-28,4.5821845914600035,10,max_hold,3.6858900098094116,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2023-08-24,2023-09-08,0.5153576948668137,10,max_hold,1.6573357754990692,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2023-10-05,2023-10-19,2.334442144666915,10,max_hold,4.057152165828359,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2024-01-09,2024-01-24,7.034701689208522,10,max_hold,6.166060134391915,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2024-02-08,2024-02-23,-1.6781183279996115,10,max_hold,2.1737626888449046,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2024-03-14,2024-03-28,6.62826994694059,10,max_hold,6.8560043263675485,additional,5.0,10.0,False
P-stop5-hold10,GOOGL,2024-06-17,2024-07-02,3.5484316331660493,10,max_hold,5.670806205124679,additional,5.0,10.0,False
P-stop5-hold10,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,v5,,,False
P-stop5-hold10,AAOI,2022-10-19,2022-10-24,-6.671580641152309,3,hard_stop,-3.412974087806875,additional,5.0,10.0,False
P-stop5-hold10,AAOI,2023-01-13,2023-01-20,-1.9132048599326823,4,signal,4.721035927736872,v5,,,False
P-stop5-hold10,AAOI,2023-03-01,2023-03-15,-6.324818675439314,10,max_hold,1.805052442619881,additional,5.0,10.0,False
P-stop5-hold10,AAOI,2023-03-29,2023-05-02,-0.1999000000000084,23,trail,26.37362011157598,v5,,,False
