window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
training,MRNA,2023-08-17,jf,bear,,,,False,False,False,False,True,2023-09-15,8.205849562606593,11.491971665336864,-4.249291723475879,True,False
training,MRNA,2023-08-21,b,bear,2023-08-17,bear,2.0,False,False,False,True,True,2023-09-19,-5.12000189887154,4.951110839843742,-9.466668023003477,False,True
training,MRNA,2023-11-02,jf,bear,,,,False,False,False,False,True,2023-12-01,9.221515707847928,10.986464374097338,-7.483915536157837,True,False
training,MRNA,2024-05-28,s,bull,,,,False,False,False,False,True,2024-06-26,-18.36666870117186,5.880004882812506,-18.586664835611966,True,False
training,NVDA,2021-12-13,s,bull,,,,False,False,False,False,True,2022-01-11,0.42604554288405705,13.10878977305161,-7.419023169673677,False,True
training,NVDA,2022-08-30,s,bear,,,,False,False,False,False,True,2022-09-28,-17.18809188867376,1.0140414658639019,-20.58223122040801,True,False
training,NVDA,2022-11-09,s,bear,,,,False,False,False,False,True,2022-12-08,16.036452154056825,16.685238685621997,-1.709461190127548,False,True
training,NVDA,2023-04-25,s,bull,,,,False,False,False,False,True,2023-05-23,13.650847175856097,17.872753108972827,-1.3961829330896736,False,True
training,NVDA,2023-08-10,s,bull,,,,False,False,False,False,True,2023-09-08,9.160867021286712,20.394741539900863,-3.449006455493142,False,True
training,NVDA,2024-07-17,s,bull,,,,False,False,False,False,True,2024-08-14,-3.0939665522954685,2.3307347572234294,-25.57242040966322,True,False
training,GOOGL,2022-02-01,b,bull,2022-01-31,bull,1,False,True,False,False,True,2022-03-02,-11.027105662448344,0.1960287803460803,-17.38611646920195,False,True
training,GOOGL,2024-03-14,b,bull,2024-03-13,bull,1,False,True,False,False,True,2024-04-12,10.687716300027406,12.435088575932006,-1.7333341899671062,True,False
training,AAOI,2021-11-05,s,bear,,,,False,False,False,False,True,2021-12-06,-8.695651827223239,5.351173422085642,-13.043481727767603,True,False
training,AAOI,2022-01-24,jf,bear,,,,False,False,False,False,True,2022-02-22,-0.2518889267302482,14.861458688096075,-8.488668241270236,False,True
training,AAOI,2022-08-05,s,bear,,,,False,False,False,False,True,2022-09-02,21.390373002041162,63.10160131224565,-4.010697726870093,False,True
training,AAOI,2023-01-12,b,bear,2023-01-09,bear,3.0,False,False,True,False,True,2023-02-10,13.733913396545972,24.29184563409521,-8.58368308214451,True,False
training,AAOI,2023-01-19,s,bear,,,,False,False,False,False,True,2023-02-16,28.820964926856508,33.62445387568667,-6.986893016480245,False,True
training,AAOI,2023-03-28,jf,bear,,,,False,False,False,False,True,2023-04-26,13.186806780807615,29.120870159669067,-4.120881622100391,True,False
training,AAOI,2023-05-08,jf,bear,,,,False,False,False,False,True,2023-06-06,53.67231965654793,59.322031843562925,-7.34463257810768,True,False
training,AAOI,2023-06-21,s,bull,,,,False,False,False,False,True,2023-07-20,72.94993799085915,144.5154232693884,-23.51437808706346,False,True
training,AAOI,2023-11-30,s,bull,,,,False,False,False,False,True,2023-12-29,46.474604317332215,82.56255261386664,-1.5921155786789654,False,True
training,AAOI,2024-04-16,jf,bear,,,,False,False,False,False,True,2024-05-14,-7.308971073331138,9.634550258200992,-19.933551712079066,False,True
training,AAOI,2024-07-10,b,bear,2024-07-08,bear,2.0,False,False,False,True,True,2024-08-07,-26.524068392827328,29.518707621418017,-28.342250952807312,False,True
training,AAOI,2024-08-19,b,bear,2024-08-15,bear,2.0,False,False,True,False,False,,,,,,
validation,TQQQ,2024-12-31,s,bull,,,,False,False,False,False,True,2025-01-31,2.7067139615314817,10.392343179811792,-8.939678490609237,False,True
validation,TQQQ,2025-04-07,jf,bear,,,,False,False,False,False,True,2025-05-06,25.005508134069785,32.60629122425247,-18.263937050014476,True,False
validation,TQQQ,2025-08-22,s,bull,,,,False,False,False,False,False,,,,,,
validation,MSFT,2025-03-24,b,bear,2025-03-21,bear,1,False,False,True,False,True,2025-04-22,-6.8795707706501785,0.619407961173768,-12.472076362737416,False,True
validation,NFLX,2024-10-21,b,bull,2024-10-18,bull,1.0,True,False,False,False,True,2024-11-18,10.686426173966378,10.869367343575576,-2.745433524213581,True,False
validation,NFLX,2025-01-02,s,bull,,,,False,False,False,False,True,2025-02-03,9.607776373232003,11.853814748368286,-7.793944765758731,False,True
validation,NFLX,2025-03-24,b,bull,2025-03-17,bull,5.0,False,True,False,False,True,2025-04-22,6.354654294866724,8.872600936526908,-16.058394217515204,True,False
validation,NFLX,2025-08-11,b,bull,2025-08-08,bull,1.0,False,True,False,False,False,,,,,,
validation,YINN,2024-10-08,s,bull,,,,False,False,False,False,True,2024-11-05,-1.5447145562432096,12.357716449945698,-16.639569222486163,True,False
validation,YINN,2025-01-27,b,bull,2025-01-24,bull,1.0,False,True,False,False,True,2025-02-25,37.636174865012116,55.00164854360177,-3.367449412128598,True,False
validation,YINN,2025-02-24,s,bull,,,,False,False,False,False,True,2025-03-24,6.839854168738713,26.596759034587002,-9.72354171920664,False,True
validation,YINN,2025-04-09,jf,bear,,,,False,False,False,False,True,2025-05-08,28.780129299850476,34.66033623812741,-7.706350502838555,True,False
validation,SNOW,2024-12-23,s,bull,,,,False,False,False,False,True,2025-01-24,7.6143336421870655,9.888751358602764,-5.364652515979051,False,False
validation,SNOW,2025-07-23,s,bull,,,,False,False,False,False,True,2025-08-20,-9.188379077810282,6.880802826720833,-12.358395965550727,True,False
validation,TSLA,2024-10-25,b,bull,2024-10-24,bull,1.0,True,False,False,False,True,2024-11-22,30.57777687355323,33.89999954788774,-11.52592411747685,True,False
validation,TSLA,2024-12-18,s,bull,,,,False,False,False,False,True,2025-01-21,-6.154288142447428,2.9764498415771223,-17.447108853231175,True,False
validation,TSLA,2025-03-12,jf,bear,,,,False,False,False,False,True,2025-04-09,9.70056295109758,17.619796219869222,-13.654134613350543,True,False
validation,TSLA,2025-03-25,b,bull,2025-03-24,bear,1.0,False,False,True,False,True,2025-04-23,-11.292718373803712,3.2512567474498155,-24.20222273253998,False,True
