scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,recovery,source_trusted,true,4,3,1,2,1,4,1,0,50.0,0.0,73.7058826251759,73.7058826251759,88.4565763855773,-10.086862874762737,3,2,1,3.0
all,recovery,right_censored,false,7,7,0,5,2,7,2,2,40.0,40.0,29.446522733633582,-6.117943314010466,43.19103763456218,-10.102245758977629,7,4,0,3.0
all,recovery,right_censored,true,1,0,1,0,0,1,0,0,,,,,,,0,0,1,
all,recovery,setup_before_window,false,8,7,1,5,2,8,2,2,40.0,40.0,29.446522733633582,-6.117943314010466,43.19103763456218,-10.102245758977629,7,4,1,3.0
all,recovery,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,expiry_state,held,2,2,0,2,0,2,1,0,50.0,0.0,8.755945831143169,8.755945831143169,18.921096303803196,-5.97439483193633,2,0,0,6.0
all,recovery,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,expiry_state,flat_uncovered,6,5,1,3,2,6,1,2,33.33333333333333,66.66666666666666,43.240240668627195,-11.848678231924604,59.37099852173483,-12.854146377005163,5,4,1,3.0
all,recovery,recovery_state,unobserved,1,0,1,0,0,1,0,0,,,,,,,0,0,1,
all,recovery,recovery_state,held,3,3,0,2,1,3,1,0,50.0,0.0,8.755945831143169,8.755945831143169,18.921096303803196,-5.97439483193633,3,0,0,9.0
all,recovery,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,recovery_state,flat_uncovered,4,4,0,3,1,4,1,2,33.33333333333333,66.66666666666666,43.240240668627195,-11.848678231924604,59.37099852173483,-12.854146377005163,4,4,0,2.5
all,recovery,failure,high,5,5,0,4,1,5,2,1,50.0,25.0,39.798230498681,8.755945831143169,52.74851920148862,-9.57739212406998,5,3,0,3.0
all,recovery,failure,mid,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,failure,both,3,2,1,1,1,3,0,1,0.0,100.0,-11.96030832655608,-11.96030832655608,4.961111366856419,-12.20166029860823,2,1,1,23.0
all,recovery,component,B_BASE_BULL,1,1,0,1,0,1,1,0,100.0,0.0,153.52970856436227,153.52970856436227,168.0483856908041,-13.477122332140079,1,1,0,3.0
all,recovery,component,B_STAGE_COMPONENT,2,2,0,1,1,2,0,0,0.0,0.0,-6.117943314010466,-6.117943314010466,8.86476708035051,-6.696603417385393,2,1,0,5.5
all,recovery,component,B_BEAR_RECOVER,2,2,0,1,1,2,1,0,100.0,0.0,23.629834976296806,23.629834976296806,28.977425527255885,-5.252186246487267,2,0,0,15.5
all,recovery,component,B_CRASH_RECOVER,4,3,1,2,1,4,0,2,0.0,100.0,-11.904493279240342,-11.904493279240342,5.032304937200194,-12.542658399437705,3,2,1,18.0
all,recovery,component,multiple,1,1,0,0,1,1,0,0,,,,,,,1,0,0,28.0
all,recovery,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,all,all,6,6,0,5,1,6,2,3,40.0,60.0,2.445008373143198,-3.463312534719265,10.101352898752069,-15.162679084042423,5,4,1,3.0
eligible,setup,symbol,TQQQ,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
eligible,setup,symbol,MSFT,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,NFLX,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
eligible,setup,symbol,YINN,1,1,0,1,0,1,0,1,0.0,100.0,-3.463312534719265,-3.463312534719265,0.35451615654926716,-18.380142351568008,1,1,0,18.0
eligible,setup,symbol,SNOW,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
eligible,setup,symbol,TSLA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,MRNA,1,1,0,1,0,1,1,0,100.0,0.0,1.9461095476292822,1.9461095476292822,10.217071555913272,-10.516465337399772,1,1,0,2.0
eligible,setup,symbol,NVDA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,GOOGL,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,AAOI,1,1,0,1,0,1,1,0,100.0,0.0,25.064053680511943,25.064053680511943,38.01537288332286,-13.771252519806144,1,1,0,3.0
eligible,setup,source_trusted,false,3,3,0,3,0,3,1,2,33.33333333333333,66.66666666666666,-2.8279980459545198,-3.463312534719265,4.0038835810194335,-14.821616035977065,3,2,0,18.0
eligible,setup,source_trusted,true,3,3,0,2,1,3,1,1,50.0,50.0,10.354518001789774,10.354518001789774,19.247556875351023,-15.674273656140459,2,2,1,2.5
eligible,setup,right_censored,false,5,5,0,4,1,5,2,2,50.0,50.0,4.145014885662096,-0.7586014935449914,12.506755906595291,-14.559025156934336,5,4,0,3.0
eligible,setup,right_censored,true,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
eligible,setup,setup_before_window,false,6,6,0,5,1,6,2,3,40.0,60.0,2.445008373143198,-3.463312534719265,10.101352898752069,-15.162679084042423,5,4,1,3.0
eligible,setup,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,flat_uncovered,6,6,0,5,1,6,2,3,40.0,60.0,2.445008373143198,-3.463312534719265,10.101352898752069,-15.162679084042423,5,4,1,3.0
eligible,setup,recovery_state,unobserved,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
eligible,setup,recovery_state,held,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
eligible,setup,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,recovery_state,flat_uncovered,4,4,0,3,1,4,2,1,66.66666666666666,33.33333333333333,7.848950231140653,1.9461095476292822,16.195653531928468,-14.222620069591308,4,4,0,2.5
eligible,setup,failure,high,3,3,0,2,1,3,2,0,100.0,0.0,13.505081614070612,13.505081614070612,24.116222219618066,-12.143858928602958,3,3,0,2.0
eligible,setup,failure,mid,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,failure,both,3,3,0,3,0,3,0,3,0.0,100.0,-4.928373787475079,-4.355017676932393,0.758106684841405,-17.175225854335398,2,1,1,23.0
eligible,setup,component,B_BASE_BULL,1,1,0,1,0,1,1,0,100.0,0.0,25.064053680511943,25.064053680511943,38.01537288332286,-13.771252519806144,1,1,0,3.0
eligible,setup,component,B_STAGE_COMPONENT,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
eligible,setup,component,B_BEAR_RECOVER,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
eligible,setup,component,B_CRASH_RECOVER,4,4,0,4,0,4,1,3,25.0,75.0,-3.209752953698988,-3.9091651058258288,3.1228479026093714,-15.510535725101493,3,2,1,18.0
eligible,setup,component,multiple,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
eligible,setup,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,all,all,6,6,0,5,1,6,4,1,80.0,20.0,36.44620975250753,6.215137220053846,46.39105958549511,-6.869105165030805,5,4,1,3.0
eligible,expiry,symbol,TQQQ,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
eligible,expiry,symbol,MSFT,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,symbol,NFLX,1,1,0,1,0,1,1,0,100.0,0.0,0.32476029609482815,0.32476029609482815,2.0974227203777396,-11.935046701907792,1,0,0,28.0
eligible,expiry,symbol,YINN,1,1,0,1,0,1,1,0,100.0,0.0,15.174852223315582,15.174852223315582,22.521650732218102,-3.97818340738868,1,1,0,18.0
eligible,expiry,symbol,SNOW,1,1,0,1,0,1,0,1,0.0,100.0,-1.6742321222109502,-1.6742321222109502,4.846769973231324,-12.244606879635601,0,0,1,
eligible,expiry,symbol,TSLA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
